sub_plot,plot_code,treatment_code_partitioning,co2ref_ppm_sec,InputD,time,InputF,year,month,day,atmp_mb,measurement_code,replica,collar_number
1,PP1,con_nor_lit,549,0,0,0,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,553,0,4,0,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,556,0,9,0,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,558,9,14,0.59,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,560,11,19,0.54,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,562,13,24,0.52,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,565,15,28,0.5,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,567,17,33,0.49,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,569,19,38,0.48,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,571,21,43,0.47,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,574,23,48,0.47,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,576,26,52,0.46,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,578,28,57,0.46,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,580,30,62,0.46,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,583,32,67,0.45,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,585,34,72,0.45,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,587,36,76,0.45,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,590,39,81,0.45,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,592,41,86,0.45,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,594,43,91,0.45,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,597,46,96,0.45,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,599,48,100,0.45,2013,9,3,992,NA,1,NA
1,PP1,con_nor_lit,602,50,105,0.45,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,550,0,0,0,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,550,0,4,0,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,551,0,9,0,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,552,1,14,0.11,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,553,2,19,0.13,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,554,3,24,0.15,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,555,4,28,0.16,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,556,6,33,0.17,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,557,7,38,0.18,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,559,8,43,0.19,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,560,10,48,0.19,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,561,11,52,0.2,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,562,12,57,0.2,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,564,14,62,0.21,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,565,15,67,0.21,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,566,16,72,0.22,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,568,18,76,0.22,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,569,19,81,0.22,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,570,20,86,0.22,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,572,22,91,0.23,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,573,23,96,0.23,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,575,25,100,0.23,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,576,26,105,0.23,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,577,28,110,0.24,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,579,29,115,0.24,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,580,31,120,0.24,2013,9,3,992,NA,1,NA
1,PP1,con_no_lit,582,32,124,0.24,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,453,0,0,0,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,460,0,4,0,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,463,0,9,0,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,466,12,14,0.79,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,468,13,19,0.67,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,469,15,24,0.59,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,471,16,28,0.53,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,473,17,33,0.49,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,475,19,38,0.46,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,477,20,43,0.45,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,479,22,48,0.43,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,480,23,52,0.42,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,482,25,57,0.41,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,484,27,62,0.41,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,486,28,67,0.4,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,487,30,72,0.39,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,489,31,76,0.39,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,491,33,81,0.38,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,493,35,86,0.38,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,495,37,91,0.38,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,497,38,96,0.38,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,499,40,100,0.38,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,501,42,105,0.37,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,503,44,110,0.37,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,505,46,115,0.37,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,507,48,120,0.37,2013,9,3,992,NA,1,NA
1,PP1,so_no_lit,509,49,124,0.37,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,487,0,0,0,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,490,0,4,0,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,491,0,9,0,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,493,5,14,0.38,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,496,8,19,0.4,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,499,11,24,0.43,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,501,13,28,0.45,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,505,17,33,0.48,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,508,20,38,0.51,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,512,24,43,0.53,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,516,28,48,0.56,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,520,32,52,0.58,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,524,36,57,0.6,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,528,41,62,0.62,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,532,45,67,0.64,2013,9,3,992,NA,1,NA
1,PP1,my_no_lit,536,50,72,0.65,2013,9,3,992,NA,1,NA
1,PP1,ml,494,0,0,0,2013,9,3,992,NA,1,NA
