"","flux_umolm2sec","Error","last_inputf","last_time","codew","plot_code","sub_plot","collar_number","replica","day","month","year","measurement_code","treatment_code_partitioning","flux_umolm2sec_modeled","Outlier_id","flux_umolm2sec_no_outlier","MgC_year_per_ha"
"1",6.18202,"NA .Outlier detected, replaced with NA",0.68,52,"XXX-01_1_9999_1_28_5_2013_TOTAL_NA","XXX-01","1",9999,"1",28,5,2013,"TOTAL",NA,6.18202,3.08417234351783,NA,NA
"2",2.47101,"NA",0.31,100,"XXX-01_2_9999_1_28_5_2013_TOTAL_NA","XXX-01","2",9999,"1",28,5,2013,"TOTAL",NA,2.47101,0.071035067919228,2.47101,8.60376472352688
"3",1.1766,"NA",0.17,124,"XXX-01_3_9999_1_28_5_2013_TOTAL_NA","XXX-01","3",9999,"1",28,5,2013,"TOTAL",NA,1.1766,0,1.1766,4.09678211488489
"4",2.43829,"NA",0.37,86,"XXX-01_4_9999_1_28_5_2013_TOTAL_NA","XXX-01","4",9999,"1",28,5,2013,"TOTAL",NA,2.43829,0.044468216399672,2.43829,8.48983755133664
"5",1.4306,"NA",0.21,124,"XXX-01_5_9999_1_28_5_2013_TOTAL_NA","XXX-01","5",9999,"1",28,5,2013,"TOTAL",NA,1.4306,0,1.4306,4.98118008971131
"6",4.82957,"NA",0.78,43,"XXX-01_6_9999_1_28_5_2013_TOTAL_NA","XXX-01","6",9999,"1",28,5,2013,"TOTAL",NA,4.82957,1.9860568686516,4.82957,16.8159918396946
"7",1.78446,"NA",0.28,115,"XXX-01_7_9999_1_28_5_2013_TOTAL_NA","XXX-01","7",9999,"1",28,5,2013,"TOTAL",NA,1.78446,0,1.78446,6.21327878015255
"8",0.73145,"NA",0.1,124,"XXX-01_13_9999_1_28_5_2013_TOTAL_NA","XXX-01","13",9999,"1",28,5,2013,"TOTAL",NA,0.73145,-0.341392567452359,0.73145,2.54682243577474
"9",4.55305,"NA",0.85,38,"XXX-01_18_9999_1_28_5_2013_TOTAL_NA","XXX-01","18",9999,"1",28,5,2013,"TOTAL",NA,4.55305,1.76153774327912,4.55305,15.8531818869426
"10",3.20309,"NA",0.52,62,"XXX-01_17_9999_1_28_5_2013_TOTAL_NA","XXX-01","17",9999,"1",28,5,2013,"TOTAL",NA,3.20309,0.665444012309092,3.20309,11.1527807448297
"11",1.00582,"NA",0.14,124,"XXX-01_15_9999_1_28_5_2013_TOTAL_NA","XXX-01","15",9999,"1",28,5,2013,"TOTAL",NA,1.00582,-0.118619124560535,1.00582,3.5021463426768
"12",1.41306,"NA",0.22,124,"XXX-01_14_9999_1_28_5_2013_TOTAL_NA","XXX-01","14",9999,"1",28,5,2013,"TOTAL",NA,1.41306,0,1.41306,4.92010788310322
"13",3.15521,"NA",0.51,62,"XXX-01_16_9999_1_28_5_2013_TOTAL_NA","XXX-01","16",9999,"1",28,5,2013,"TOTAL",NA,3.15521,0.626568069437566,3.15521,10.9860682446932
"14",2.21939,"NA",0.35,91,"XXX-01_25_9999_1_28_5_2013_TOTAL_NA","XXX-01","25",9999,"1",28,5,2013,"TOTAL",NA,2.21939,0,2.21939,7.72765362736222
"15",1.83089,"NA",0.28,115,"XXX-01_24_9999_1_28_5_2013_TOTAL_NA","XXX-01","24",9999,"1",28,5,2013,"TOTAL",NA,1.83089,0,1.83089,6.37494255169268
"16",4.73571,"NA",0.8,43,"XXX-01_23_9999_1_28_5_2013_TOTAL_NA","XXX-01","23",9999,"1",28,5,2013,"TOTAL",NA,4.73571,1.90984767905425,4.73571,16.4891824148237
"17",0.35803,"NA",0.05,124,"XXX-01_9_9999_1_29_5_2013_TOTAL_NA","XXX-01","9",9999,"1",29,5,2013,"TOTAL",NA,0.35803,-0.644589196255308,0.35803,1.24661813750828
"18",1.84898,"NA",0.27,120,"XXX-01_8_9999_1_29_5_2013_TOTAL_NA","XXX-01","8",9999,"1",29,5,2013,"TOTAL",NA,1.84898,0,1.84898,6.43792979328563
"19",1.91011,"NA",0.29,110,"XXX-01_10_9999_1_29_5_2013_TOTAL_NA","XXX-01","10",9999,"1",29,5,2013,"TOTAL",NA,1.91011,0,1.91011,6.65077722714838
"20",1.31974,"NA",0.2,124,"XXX-01_11_9999_1_29_5_2013_TOTAL_NA","XXX-01","11",9999,"1",29,5,2013,"TOTAL",NA,1.31974,0,1.31974,4.59517867439928
"21",1.11551,"NA",0.17,124,"XXX-01_12_9999_1_29_5_2013_TOTAL_NA","XXX-01","12",9999,"1",29,5,2013,"TOTAL",NA,1.11551,-0.0295568402335154,1.11551,3.88407395629377
"22",0.8159,"NA",0.12,124,"XXX-01_19_9999_1_29_5_2013_TOTAL_NA","XXX-01","19",9999,"1",29,5,2013,"TOTAL",NA,0.8159,-0.272823783502895,0.8159,2.84086735299557
"23",2.73497,"NA",0.4,81,"XXX-01_20_9999_1_29_5_2013_TOTAL_NA","XXX-01","20",9999,"1",29,5,2013,"TOTAL",NA,2.73497,0.285356159823321,2.73497,9.52284224098822
"24",2.55493,"NA",0.4,81,"XXX-01_21_9999_1_29_5_2013_TOTAL_NA","XXX-01","21",9999,"1",29,5,2013,"TOTAL",NA,2.55493,0.139173520838577,2.55493,8.89596424339866
"25",1.38172,"NA",0.2,124,"XXX-01_22_9999_1_29_5_2013_TOTAL_NA","XXX-01","22",9999,"1",29,5,2013,"TOTAL",NA,1.38172,0,1.38172,4.81098570778409
"26",1.03682,"NA",0.16,124,"XXX-01_1_9999_1_22_6_2013_TOTAL_NA","XXX-01","1",9999,"1",22,6,2013,"TOTAL",NA,1.03682,-0.0934488190255031,1.03682,3.61008467818711
"27",1.03521,"NA",0.16,124,"XXX-01_2_9999_1_22_6_2013_TOTAL_NA","XXX-01","2",9999,"1",22,6,2013,"TOTAL",NA,1.03521,-0.0947560510226451,1.03521,3.60447884850416
"28",1.4483,"NA",0.25,124,"XXX-01_8_9999_1_22_6_2013_TOTAL_NA","XXX-01","8",9999,"1",22,6,2013,"TOTAL",NA,1.4483,0,1.4483,5.04280939740591
"29",0.89369,"NA",0.13,124,"XXX-01_9_9999_1_22_6_2013_TOTAL_NA","XXX-01","9",9999,"1",22,6,2013,"TOTAL",NA,0.89369,-0.209662555516763,0.89369,3.11172293749063
"30",1.38043,"NA",0.21,124,"XXX-01_10_9999_1_22_6_2013_TOTAL_NA","XXX-01","10",9999,"1",22,6,2013,"TOTAL",NA,1.38043,0,1.38043,4.80649408027414
"31",1.11574,"NA",0.18,124,"XXX-01_11_9999_1_22_6_2013_TOTAL_NA","XXX-01","11",9999,"1",22,6,2013,"TOTAL",NA,1.11574,-0.0293700928053523,1.11574,3.88487478910562
"32",1.03213,"NA",0.15,124,"XXX-01_12_9999_1_22_6_2013_TOTAL_NA","XXX-01","12",9999,"1",22,6,2013,"TOTAL",NA,1.03213,-0.0972568426693514,1.03213,3.59375465258894
"33",1.39379,"NA",0.21,124,"XXX-01_19_9999_1_22_6_2013_TOTAL_NA","XXX-01","19",9999,"1",22,6,2013,"TOTAL",NA,1.39379,0,1.39379,4.85301202099729
"34",0.81388,"NA",0.13,124,"XXX-01_20_9999_1_22_6_2013_TOTAL_NA","XXX-01","20",9999,"1",22,6,2013,"TOTAL",NA,0.81388,-0.274463913089371,0.81388,2.83383395177844
"35",2.28031,"NA",0.37,86,"XXX-01_21_9999_1_22_6_2013_TOTAL_NA","XXX-01","21",9999,"1",22,6,2013,"TOTAL",NA,2.28031,0,2.28031,7.93976986604893
"36",0.44557,"NA",0.06,124,"XXX-01_22_9999_1_22_6_2013_TOTAL_NA","XXX-01","22",9999,"1",22,6,2013,"TOTAL",NA,0.44557,-0.573511501205739,0.44557,1.55142206946223
"37",1.20153,"NA",0.2,124,"XXX-01_23_9999_1_22_6_2013_TOTAL_NA","XXX-01","23",9999,"1",22,6,2013,"TOTAL",NA,1.20153,0,1.20153,4.18358542792593
"38",1.94471,"NA",0.32,100,"XXX-01_24_9999_1_22_6_2013_TOTAL_NA","XXX-01","24",9999,"1",22,6,2013,"TOTAL",NA,1.94471,0,1.94471,6.77125033710505
"39",0.24757,"NA",0.04,124,"XXX-01_25_9999_1_22_6_2013_TOTAL_NA","XXX-01","25",9999,"1",22,6,2013,"TOTAL",NA,0.24757,-0.734276678494004,0.24757,0.862009474912505
"40",0.87041,"NA",0.15,124,"XXX-01_16_9999_1_22_6_2013_TOTAL_NA","XXX-01","16",9999,"1",22,6,2013,"TOTAL",NA,0.87041,-0.228564643028231,0.87041,3.03066472940418
"41",1.2826,"NA",0.19,124,"XXX-01_15_9999_1_22_6_2013_TOTAL_NA","XXX-01","15",9999,"1",22,6,2013,"TOTAL",NA,1.2826,0,1.2826,4.46586158469434
"42",1.86299,"NA",0.3,105,"XXX-01_14_9999_1_22_6_2013_TOTAL_NA","XXX-01","14",9999,"1",22,6,2013,"TOTAL",NA,1.86299,0,1.86299,6.48671095717271
"43",1.09555,"NA",0.17,124,"XXX-01_17_9999_1_22_6_2013_TOTAL_NA","XXX-01","17",9999,"1",22,6,2013,"TOTAL",NA,1.09555,-0.0457632692167162,1.09555,3.81457559575229
"44",3.96663,"NA",0.69,48,"XXX-01_18_9999_1_22_6_2013_TOTAL_NA","XXX-01","18",9999,"1",22,6,2013,"TOTAL",NA,3.96663,1.28539675709031,3.96663,13.8113367672666
"45",1.01399,"NA",0.17,124,"XXX-01_13_9999_1_22_6_2013_TOTAL_NA","XXX-01","13",9999,"1",22,6,2013,"TOTAL",NA,1.01399,-0.111985531134044,1.01399,3.53059331690645
"46",1.2776,"NA",0.2,124,"XXX-01_5_9999_1_22_6_2013_TOTAL_NA","XXX-01","5",9999,"1",22,6,2013,"TOTAL",NA,1.2776,0,1.2776,4.44845217574107
"47",1.48595,"NA",0.23,124,"XXX-01_6_9999_1_22_6_2013_TOTAL_NA","XXX-01","6",9999,"1",22,6,2013,"TOTAL",NA,1.48595,0,1.48595,5.17390224682408
"48",0.38484,"NA",0.05,124,"XXX-01_7_9999_1_22_6_2013_TOTAL_NA","XXX-01","7",9999,"1",22,6,2013,"TOTAL",NA,0.38484,-0.622820941694205,0.38484,1.33996738831574
"49",0.92819,"NA",0.15,124,"XXX-01_3_9999_1_22_6_2013_TOTAL_NA","XXX-01","3",9999,"1",22,6,2013,"TOTAL",NA,0.92819,-0.181650441292292,0.92819,3.23184785926824
"50",1.33393,"NA",0.2,124,"XXX-01_4_9999_1_22_6_2013_TOTAL_NA","XXX-01","4",9999,"1",22,6,2013,"TOTAL",NA,1.33393,0,1.33393,4.64458657700867
"51",0,"NA",NA,124,"XXX-01_1_9999_1_23_7_2013_TOTAL_NA","XXX-01","1",9999,"1",23,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"52",0,"NA",NA,124,"XXX-01_2_9999_1_23_7_2013_TOTAL_NA","XXX-01","2",9999,"1",23,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"53",0.00399,"NA",NA,124,"XXX-01_9_9999_1_23_7_2013_TOTAL_NA","XXX-01","9",9999,"1",23,7,2013,"TOTAL",NA,0.00399,-0.932050324372163,0.00399,0.0138927083447142
"54",-0.02082,"NA",NA,124,"XXX-01_8_9999_1_23_7_2013_TOTAL_NA","XXX-01","8",9999,"1",23,7,2013,"TOTAL",NA,-0.02082,-0.952194688253587,-0.02082,-0.072492778881441
"55",-0.0365,"NA",NA,115,"XXX-01_10_9999_1_23_7_2013_TOTAL_NA","XXX-01","10",9999,"1",23,7,2013,"TOTAL",NA,-0.0365,-0.964925991182274,-0.0365,-0.127088685358914
"56",0.01264,"NA",NA,115,"XXX-01_11_9999_1_23_7_2013_TOTAL_NA","XXX-01","11",9999,"1",23,7,2013,"TOTAL",NA,0.01264,-0.92502699718255,0.01264,0.0440109858338816
"57",0,"NA",NA,76,"XXX-01_12_9999_1_23_7_2013_TOTAL_NA","XXX-01","12",9999,"1",23,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"58",0,"NA",NA,124,"XXX-01_19_9999_1_24_7_2013_TOTAL_NA","XXX-01","19",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"59",0,"NA",NA,48,"XXX-01_20_9999_1_24_7_2013_TOTAL_NA","XXX-01","20",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"60",0,"NA",NA,72,"XXX-01_21_9999_1_24_7_2013_TOTAL_NA","XXX-01","21",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"61",0,"NA",NA,81,"XXX-01_22_9999_1_24_7_2013_TOTAL_NA","XXX-01","22",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"62",0,"NA",NA,124,"XXX-01_23_9999_1_24_7_2013_TOTAL_NA","XXX-01","23",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"63",0,"NA",NA,124,"XXX-01_24_9999_1_24_7_2013_TOTAL_NA","XXX-01","24",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"64",0,"NA",NA,124,"XXX-01_25_9999_1_24_7_2013_TOTAL_NA","XXX-01","25",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"65",0,"NA",NA,100,"XXX-01_16_9999_1_24_7_2013_TOTAL_NA","XXX-01","16",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"66",0,"NA",NA,105,"XXX-01_17_9999_1_24_7_2013_TOTAL_NA","XXX-01","17",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"67",0,"NA",NA,96,"XXX-01_18_9999_1_24_7_2013_TOTAL_NA","XXX-01","18",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"68",0.00988,"NA",NA,124,"XXX-01_15_9999_1_24_7_2013_TOTAL_NA","XXX-01","15",9999,"1",24,7,2013,"TOTAL",NA,0.00988,-0.927267966320507,0.00988,0.0344009920916733
"69",0.01626,"NA",NA,124,"XXX-01_14_9999_1_24_7_2013_TOTAL_NA","XXX-01","14",9999,"1",24,7,2013,"TOTAL",NA,0.01626,-0.92208775505233,0.01626,0.0566153979160533
"70",0,"NA",NA,124,"XXX-01_13_9999_1_24_7_2013_TOTAL_NA","XXX-01","13",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"71",0,"NA",NA,67,"XXX-01_5_9999_1_24_7_2013_TOTAL_NA","XXX-01","5",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"72",0,"NA",NA,86,"XXX-01_6_9999_1_24_7_2013_TOTAL_NA","XXX-01","6",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"73",0,"NA",NA,124,"XXX-01_7_9999_1_24_7_2013_TOTAL_NA","XXX-01","7",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"74",0,"NA",NA,124,"XXX-01_4_9999_1_24_7_2013_TOTAL_NA","XXX-01","4",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
