plot_code,sub_plot,plot_corner_code,collar_number,measurement_code,treatment_code_partitioning,disturbance_code_control,litter_code,replica,year,egm_measurement,recno,day,month,hour,min,co2ref,InputD,time,InputF,atmp,probe_type,manually_collected_final_flux,quality_code,comments
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,1,28,5,10,24,467,0,0,0,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,2,28,5,10,24,468,0,4,0,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,3,28,5,10,24,469,0,9,0,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,4,28,5,10,24,471,4,14,0.19,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,5,28,5,10,24,474,6,19,0.23,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,6,28,5,10,24,479,11,24,0.29,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,7,28,5,10,24,484,16,28,0.36,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,8,28,5,10,24,490,22,33,0.42,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,9,28,5,10,24,497,29,38,0.49,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,10,28,5,10,24,505,37,43,0.55,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,11,28,5,10,25,514,46,48,0.61,675,8,NA,good,check numbers of sub_plot
XXX-01,1,NA,9999,TOTAL,NA,NA,NA,1,2013,1,12,28,5,10,25,523,55,52,0.68,675,8,NA,good,check numbers of sub_plot
