"","stock_nacromass_g","plot_code","cwd_transect_num","transect_area_m2","measurement_num","year","month","day","date","stock_nacromass_MgC_ha"
"1",0,"XXX-04","1",4,1,"2015","7","2",2015-07-02,0
"2",2716.04785889786,"XXX-04","2",4,1,"2015","7","2",2015-07-02,3.05555384126009
"3",2965.55135135135,"XXX-04","3",4,1,"2015","7","2",2015-07-02,3.33624527027027
"4",691.786363636364,"XXX-04","4",4,1,"2015","7","2",2015-07-02,0.778259659090909
"5",0,"XXX-04","5",4,1,"2015","7","2",2015-07-02,0
"6",0,"XXX-04","6",4,1,"2015","7","2",2015-07-02,0
"7",728.464285714286,"XXX-04","7",4,1,"2015","7","2",2015-07-02,0.819522321428572
"8",5263.17351000351,"XXX-04","8",4,1,"2015","7","2",2015-07-02,5.92107019875395
"9",1994.74292734293,"XXX-04","9",4,1,"2015","7","2",2015-07-02,2.24408579326079
"10",464.417207792208,"XXX-04","10",4,1,"2015","7","2",2015-07-02,0.522469358766234
"11",0,"XXX-04","11",4,1,"2015","7","2",2015-07-02,0
"12",520.962337662338,"XXX-04","12",4,1,"2015","7","2",2015-07-02,0.58608262987013
"13",2101.93130923131,"XXX-04","13",4,1,"2015","7","2",2015-07-02,2.36467272288522
"14",1039.02421902422,"XXX-04","14",4,1,"2015","7","2",2015-07-02,1.16890224640225
"15",3434.51474903475,"XXX-04","15",4,1,"2015","7","2",2015-07-02,3.86382909266409
"16",746.531558441558,"XXX-04","16",4,1,"2015","7","2",2015-07-02,0.839848003246753
"17",0,"XXX-04","17",4,1,"2015","7","2",2015-07-02,0
"18",3372.33116883117,"XXX-04","18",4,1,"2015","7","2",2015-07-02,3.79387256493507
"19",363.383116883117,"XXX-04","19",4,1,"2015","7","2",2015-07-02,0.408806006493506
"20",0,"XXX-04","20",4,1,"2015","7","2",2015-07-02,0
"21",3365.53896103896,"XXX-04","21",4,1,"2015","7","2",2015-07-02,3.78623133116883
"22",1694.06177245821,"XXX-04","22",4,1,"2015","7","2",2015-07-02,1.90581949401549
"23",0,"XXX-04","23",4,1,"2015","7","2",2015-07-02,0
"24",177.616233766234,"XXX-04","24",4,1,"2015","7","2",2015-07-02,0.199818262987013
"25",2749.48571428571,"XXX-04","25",4,1,"2015","7","2",2015-07-02,3.09317142857143
