"","plot_code","cwd_transect_num","transect_area_m2","measurement_num","year","month","day","sub_transect_start_point","sub_transect_end_point","size_class","decay_class","diameter_top_1_cm","diameter_top_2_cm","diameter_bottom_1_cm","diameter_bottom_2_cm","length_cm","forest_weight_total_g","forest_weight_sample_g","dry_weight_sample_g","quality_code","is_stock","include_as_branch_npp","note","DaysBetween","diameter_cm","Volumn_cm3","surface_area_m2","WoodDensity_g_cm3","Live_wood_density","WD_ConversionFactorToAlive","Dry_mass_from_volumn_g","dry_mass_content","date","dry_mass_back_calculated_g","dry_mass_calculated_combined_g","dry_mass_when_alive","stock_nacromass_MgC_ha"
"1","XXX-04","13",4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.501,0.523,1.0439121756487,NA,0.48048880414153,2015-07-02,0,0,0,0
"2","XXX-04","13",4,2,2015,7,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.434,0.523,1.20506912442396,NA,0.48048880414153,2015-07-02,0,0,0,0
"3","XXX-04","13",4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.421,0.523,1.24228028503563,NA,0.471,2015-07-02,0,0,0,0
"4","XXX-04","13",4,4,2015,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,400,100,58.9,NA,"Y","N","",NA,NA,NA,NA,0.308,0.523,1.69805194805195,NA,0.589,2015-07-02,235.6,235.6,400.061038961039,0.26505
"5","XXX-04","13",4,5,2015,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,1200,120,60.2,NA,"Y","N","",NA,NA,NA,NA,0.185,0.523,2.82702702702703,NA,0.501666666666667,2015-07-02,602,602,1701.87027027027,0.67725
"6","XXX-04","14",4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.501,0.523,1.0439121756487,NA,0.48048880414153,2015-07-02,0,0,0,0
"7","XXX-04","14",4,2,2015,7,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.434,0.523,1.20506912442396,NA,0.48048880414153,2015-07-02,0,0,0,0
"8","XXX-04","14",4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.421,0.523,1.24228028503563,NA,0.471,2015-07-02,0,0,0,0
"9","XXX-04","14",4,4,2015,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,600,100,41.7,NA,"Y","N","",NA,NA,NA,NA,0.308,0.523,1.69805194805195,NA,0.417,2015-07-02,250.2,250.2,424.852597402597,0.281475
"10","XXX-04","14",4,5,2015,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,550,100,39.5,NA,"Y","N","",NA,NA,NA,NA,0.185,0.523,2.82702702702703,NA,0.395,2015-07-02,217.25,217.25,614.171621621622,0.24440625
