plot_code                 ,cwd_transect_num,transect_area_m2,measurement_num,year                     ,month                    ,day                      ,sub_transect_start_point,sub_transect_end_point,size_class,decay_class,diameter_top_1_cm,diameter_top_2_cm,diameter_bottom_1_cm,diameter_bottom_2_cm,length_cm,forest_weight_total_g,forest_weight_sample_g,dry_weight_sample_g,quality_code,is_stock,include_as_branch_npp,note,DaysBetween
LPG-01,1,200,1,2013,4,29,,,,2,,,,6.8,78,,,,,Y,N,,
LPG-01,1,200,2,2013,4,29,,,,2,,,,5.4,90,,,,,Y,N,,
LPG-01,1,200,3,2013,4,29,,,,4,,,,7.2,88,,,,,Y,N,,
LPG-01,1,200,4,2013,4,29,,,,4,,,,8.4,130,,,,,Y,N,,
LPG-01,1,200,5,2013,4,29,,,,2,,,,4.6,165,,,,,Y,N,,
LPG-01,1,200,6,2013,4,29,,,,4,,,,4.7,26,,,,,Y,N,,
LPG-01,1,200,7,2013,4,29,,,,3,,,,4.3,63,,,,,Y,N,,
LPG-01,1,200,8,2013,4,29,,,,4,,,,7.8,40,,,,,Y,N,,
LPG-01,1,200,9,2013,4,29,,,,4,,,,9.3,34,,,,,Y,N,,
LPG-01,1,200,10,2013,4,29,,,,5,,,,9,67,,,,,Y,N,,
LPG-01,1,200,11,2013,4,29,,,,4,,,,6.3,44,,,,,Y,N,,
LPG-01,1,200,12,2013,4,29,,,,5,,,,6.2,66,,,,,Y,N,,
LPG-01,1,200,13,2013,4,29,,,,4,,,,5,20,,,,,Y,N,,
LPG-01,1,200,14,2013,4,29,,,,3,,,,5.2,41,,,,,Y,N,,
LPG-01,1,200,15,2013,4,29,,,,4,,,,6.3,20,,,,,Y,N,,
LPG-01,1,200,16,2013,4,29,,,,3,,,,5.2,41,,,,,Y,N,,
LPG-01,1,200,17,2013,4,29,,,,4,,,,6.1,25,,,,,Y,N,,
LPG-01,1,200,18,2013,4,29,,,,5,,,,6.1,28,,,,,Y,N,,
LPG-01,1,200,19,2013,4,29,,,,3,,,,8.5,86,,,,,Y,N,,
LPG-01,1,200,20,2013,4,29,,,,4,,,,5.2,102,,,,,Y,N,,
LPG-01,1,200,21,2013,4,29,,,,4,,,,11,63,,,,,Y,N,,
LPG-01,1,200,22,2013,4,29,,,,5,,,,8,58,,,,,Y,N,,
LPG-01,1,200,23,2013,4,29,,,,4,,,,6.3,20,,,,,Y,N,,
LPG-01,1,200,24,2013,4,29,,,,4,,,,6,15,,,,,Y,N,,
LPG-01,1,200,25,2013,4,29,,,,2,,,,4,108,,,,,Y,N,,
LPG-01,1,200,26,2013,4,29,,,,3,,,,5.2,122,,,,,Y,N,,
LPG-01,1,200,27,2013,4,29,,,,3,,,,2.9,69,,,,,Y,N,,
LPG-01,1,200,28,2013,4,29,,,,3,,,,3.5,34,,,,,Y,N,,
LPG-01,1,200,29,2013,4,29,,,,4,,,,2.7,57,,,,,Y,N,,
LPG-01,1,200,30,2013,4,29,,,,2,,,,2.7,56,,,,,Y,N,,
LPG-01,1,200,31,2013,4,29,,,,4,,,,4,25,,,,,Y,N,,
LPG-01,1,200,32,2013,4,29,,,,2,,,,3,74,,,,,Y,N,,
LPG-01,1,200,33,2013,4,29,,,,2,,,,2.3,54,,,,,Y,N,,
LPG-01,1,200,34,2013,4,29,,,,3,,,,8.6,68,,,,,Y,N,,
LPG-01,1,200,35,2013,4,29,,,,4,,,,5.8,81,,,,,Y,N,,
