plot_code,decay_class,dry_weight_g,volumn_cm3
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,0,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,52.9,NA
XXX-04,5,64.3,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,0,NA
XXX-04,5,104.9,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,67.9,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,0,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,0,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,42.9,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,113.1,NA
XXX-04,5,73.9,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,68.9,NA
XXX-04,5,38.9,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,54.7,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,0,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,47.2,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,58.9,NA
XXX-04,5,60.2,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,41.7,NA
XXX-04,5,39.5,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,97.9,NA
XXX-04,5,59.7,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,37.9,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,0,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,198.6,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,21.4,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,0,NA
XXX-04,5,0,NA
XXX-04,1,0,NA
XXX-04,2,0,NA
XXX-04,3,0,NA
XXX-04,4,198.2,NA
