plot_code,sub_plot,cwd_transect_num,cwd_num,replica,year,egm_measurement,recno,day,month,hour,min,co2ref,InputD,time,InputF,atmp,probe_type,quality_code,comments,cwd_sub_transect_num
XXX-01,1,1,1,1,2013,1,1,25,9,21,56,469,0,0,0,675,8,NA,NA,30586
XXX-01,1,1,1,1,2013,1,2,25,9,21,56,472,0,4,0,675,8,NA,NA,30587
XXX-01,1,1,1,1,2013,1,3,25,9,21,56,474,0,9,0,675,8,NA,NA,30588
XXX-01,1,1,1,1,2013,1,4,25,9,21,56,476,6,14,0.29,675,8,NA,NA,30589
XXX-01,1,1,1,1,2013,1,5,25,9,21,56,479,9,19,0.3,675,8,NA,NA,30590
XXX-01,1,1,1,1,2013,1,6,25,9,21,56,481,11,24,0.31,675,8,NA,NA,30591
XXX-01,1,1,1,1,2013,1,7,25,9,21,56,483,13,28,0.31,675,8,NA,NA,30592
XXX-01,1,1,1,1,2013,1,8,25,9,21,56,485,16,33,0.3,675,8,NA,NA,30593
XXX-01,1,1,1,1,2013,1,9,25,9,21,56,487,18,38,0.3,675,8,NA,NA,30594
XXX-01,1,1,1,1,2013,1,10,25,9,21,56,490,20,43,0.3,675,8,NA,NA,30595
XXX-01,1,1,1,1,2013,1,11,25,9,21,57,492,22,48,0.3,675,8,NA,NA,30596
XXX-01,1,1,1,1,2013,1,12,25,9,21,57,494,24,52,0.3,675,8,NA,NA,30597
XXX-01,1,1,1,1,2013,1,13,25,9,21,57,496,26,57,0.3,675,8,NA,NA,30598
XXX-01,1,1,1,1,2013,1,14,25,9,21,57,498,28,62,0.29,675,8,NA,NA,30599
XXX-01,1,1,1,1,2013,1,15,25,9,21,57,500,31,67,0.29,675,8,NA,NA,30600
XXX-01,1,1,1,1,2013,1,16,25,9,21,57,502,33,72,0.29,675,8,NA,NA,30601
XXX-01,1,1,1,1,2013,1,17,25,9,21,57,504,35,76,0.29,675,8,NA,NA,30602
XXX-01,1,1,1,1,2013,1,18,25,9,21,57,507,37,81,0.29,675,8,NA,NA,30603
XXX-01,1,1,1,1,2013,1,19,25,9,21,57,509,39,86,0.29,675,8,NA,NA,30604
XXX-01,1,1,1,1,2013,1,20,25,9,21,57,511,41,91,0.29,675,8,NA,NA,30605
XXX-01,1,1,1,1,2013,1,21,25,9,21,57,513,43,96,0.29,675,8,NA,NA,30606
XXX-01,1,1,1,1,2013,1,22,25,9,21,57,515,45,100,0.29,675,8,NA,NA,30607
XXX-01,1,1,1,1,2013,1,23,25,9,21,58,517,47,105,0.29,675,8,NA,NA,30608
XXX-01,1,1,1,1,2013,1,24,25,9,21,58,520,49,110,0.29,675,8,NA,NA,30609
XXX-01,1,1,1,1,2013,1,25,25,9,21,58,522,52,115,0.29,675,8,NA,NA,30610
XXX-01,2,1,2,1,2013,2,1,25,9,21,58,464,0,0,0,675,8,NA,NA,30611
XXX-01,2,1,2,1,2013,2,2,25,9,21,59,466,0,4,0,675,8,NA,NA,30612
XXX-01,2,1,2,1,2013,2,3,25,9,21,59,468,0,9,0,675,8,NA,NA,30613
XXX-01,2,1,2,1,2013,2,4,25,9,21,59,470,6,14,0.29,675,8,NA,NA,30614
XXX-01,2,1,2,1,2013,2,5,25,9,21,59,473,9,19,0.3,675,8,NA,NA,30615
XXX-01,2,1,2,1,2013,2,6,25,9,21,59,476,11,24,0.31,675,8,NA,NA,30616
XXX-01,2,1,2,1,2013,2,7,25,9,21,59,479,14,28,0.32,675,8,NA,NA,30617
XXX-01,2,1,2,1,2013,2,8,25,9,21,59,482,17,33,0.33,675,8,NA,NA,30618
XXX-01,2,1,2,1,2013,2,9,25,9,21,59,485,20,38,0.34,675,8,NA,NA,30619
XXX-01,2,1,2,1,2013,2,10,25,9,21,59,488,24,43,0.36,675,8,NA,NA,30620
XXX-01,2,1,2,1,2013,2,11,25,9,21,59,492,27,48,0.37,675,8,NA,NA,30621
XXX-01,2,1,2,1,2013,2,12,25,9,21,59,495,31,52,0.38,675,8,NA,NA,30622
XXX-01,2,1,2,1,2013,2,13,25,9,21,59,499,35,57,0.39,675,8,NA,NA,30623
XXX-01,2,1,2,1,2013,2,14,25,9,22,0,502,38,62,0.4,675,8,NA,NA,30624
XXX-01,2,1,2,1,2013,2,15,25,9,22,0,507,42,67,0.41,675,8,NA,NA,30625
XXX-01,2,1,2,1,2013,2,16,25,9,22,0,510,46,72,0.41,675,8,NA,NA,30626
XXX-01,2,1,2,1,2013,2,17,25,9,22,0,514,50,76,0.42,675,8,NA,NA,30627
XXX-01,3,2,3,1,2013,3,1,25,9,22,1,463,0,0,0,675,8,NA,NA,30628
XXX-01,3,2,3,1,2013,3,2,25,9,22,1,465,0,4,0,675,8,NA,NA,30629
XXX-01,3,2,3,1,2013,3,3,25,9,22,2,469,0,9,0,675,8,NA,NA,30630
XXX-01,3,2,3,1,2013,3,4,25,9,22,2,473,10,14,0.45,675,8,NA,NA,30631
XXX-01,3,2,3,1,2013,3,5,25,9,22,2,477,14,19,0.49,675,8,NA,NA,30632
XXX-01,3,2,3,1,2013,3,6,25,9,22,2,482,19,24,0.51,675,8,NA,NA,30633
XXX-01,3,2,3,1,2013,3,7,25,9,22,2,486,23,28,0.53,675,8,NA,NA,30634
XXX-01,3,2,3,1,2013,3,8,25,9,22,2,490,28,33,0.54,675,8,NA,NA,30635
XXX-01,3,2,3,1,2013,3,9,25,9,22,2,495,32,38,0.55,675,8,NA,NA,30636
XXX-01,3,2,3,1,2013,3,10,25,9,22,2,499,37,43,0.55,675,8,NA,NA,30637
XXX-01,3,2,3,1,2013,3,11,25,9,22,2,504,42,48,0.56,675,8,NA,NA,30638
XXX-01,3,2,3,1,2013,3,12,25,9,22,2,508,46,52,0.56,675,8,NA,NA,30639
XXX-01,3,2,3,1,2013,3,13,25,9,22,2,512,50,57,0.56,675,8,NA,NA,30640
XXX-01,4,2,4,1,2013,4,1,25,9,22,4,465,0,0,0,675,8,NA,NA,30641
XXX-01,4,2,4,1,2013,4,2,25,9,22,4,470,0,4,0,675,8,NA,NA,30642
XXX-01,4,2,4,1,2013,4,3,25,9,22,4,476,0,9,0,675,8,NA,NA,30643
XXX-01,4,2,4,1,2013,4,4,25,9,22,4,481,16,14,0.74,675,8,NA,NA,30644
XXX-01,4,2,4,1,2013,4,5,25,9,22,4,487,22,19,0.73,675,8,NA,NA,30645
XXX-01,4,2,4,1,2013,4,6,25,9,22,4,492,27,24,0.74,675,8,NA,NA,30646
XXX-01,4,2,4,1,2013,4,7,25,9,22,4,498,33,28,0.74,675,8,NA,NA,30647
XXX-01,4,2,4,1,2013,4,8,25,9,22,5,504,39,33,0.75,675,8,NA,NA,30648
XXX-01,4,2,4,1,2013,4,9,25,9,22,5,509,44,38,0.74,675,8,NA,NA,30649
XXX-01,4,2,4,1,2013,4,10,25,9,22,5,514,50,43,0.74,675,8,NA,NA,30650
XXX-01,5,3,5,1,2013,5,27,25,9,22,9,466,0,0,0,675,8,NA,NA,30651
XXX-01,5,3,5,1,2013,5,28,25,9,22,9,471,0,4,0,675,8,NA,NA,30652
XXX-01,5,3,5,1,2013,5,29,25,9,22,9,476,0,9,0,675,8,NA,NA,30653
XXX-01,5,3,5,1,2013,5,30,25,9,22,9,482,15,14,0.68,675,8,NA,NA,30654
XXX-01,5,3,5,1,2013,5,31,25,9,22,9,489,22,19,0.75,675,8,NA,NA,30655
XXX-01,5,3,5,1,2013,5,32,25,9,22,9,496,30,24,0.8,675,8,NA,NA,30656
XXX-01,5,3,5,1,2013,5,33,25,9,22,9,504,38,28,0.85,675,8,NA,NA,30657
XXX-01,5,3,5,1,2013,5,34,25,9,22,9,512,46,33,0.88,675,8,NA,NA,30658
XXX-01,5,3,5,1,2013,5,35,25,9,22,9,519,54,38,0.9,675,8,NA,NA,30659
XXX-01,6,3,6,1,2013,6,1,25,9,22,11,463,0,0,0,675,8,NA,NA,30660
XXX-01,6,3,6,1,2013,6,2,25,9,22,11,465,0,4,0,675,8,NA,NA,30661
XXX-01,6,3,6,1,2013,6,3,25,9,22,11,466,0,9,0,675,8,NA,NA,30662
XXX-01,6,3,6,1,2013,6,4,25,9,22,11,467,4,14,0.18,675,8,NA,NA,30663
XXX-01,6,3,6,1,2013,6,5,25,9,22,11,467,4,19,0.15,675,8,NA,NA,30664
XXX-01,6,3,6,1,2013,6,6,25,9,22,11,468,5,24,0.13,675,8,NA,NA,30665
XXX-01,6,3,6,1,2013,6,7,25,9,22,11,469,5,28,0.13,675,8,NA,NA,30666
XXX-01,6,3,6,1,2013,6,8,25,9,22,11,469,6,33,0.12,675,8,NA,NA,30667
XXX-01,6,3,6,1,2013,6,9,25,9,22,12,471,7,38,0.12,675,8,NA,NA,30668
XXX-01,6,3,6,1,2013,6,10,25,9,22,12,471,7,43,0.11,675,8,NA,NA,30669
XXX-01,6,3,6,1,2013,6,11,25,9,22,12,472,8,48,0.11,675,8,NA,NA,30670
XXX-01,6,3,6,1,2013,6,12,25,9,22,12,473,9,52,0.11,675,8,NA,NA,30671
XXX-01,6,3,6,1,2013,6,13,25,9,22,12,474,10,57,0.11,675,8,NA,NA,30672
XXX-01,6,3,6,1,2013,6,14,25,9,22,12,475,11,62,0.11,675,8,NA,NA,30673
XXX-01,6,3,6,1,2013,6,15,25,9,22,12,476,11,67,0.11,675,8,NA,NA,30674
XXX-01,6,3,6,1,2013,6,16,25,9,22,12,476,12,72,0.11,675,8,NA,NA,30675
XXX-01,6,3,6,1,2013,6,17,25,9,22,12,477,13,76,0.11,675,8,NA,NA,30676
XXX-01,6,3,6,1,2013,6,18,25,9,22,12,478,14,81,0.11,675,8,NA,NA,30677
XXX-01,6,3,6,1,2013,6,19,25,9,22,12,479,15,86,0.11,675,8,NA,NA,30678
XXX-01,6,3,6,1,2013,6,20,25,9,22,12,480,16,91,0.11,675,8,NA,NA,30679
XXX-01,6,3,6,1,2013,6,21,25,9,22,13,481,17,96,0.11,675,8,NA,NA,30680
