,plot_code,year,month,day,litterfall_trap_num,sub_plot_code,litterfall_trap_size_m2,leaves_MgC_ha_month,twigs_MgC_ha_month,flowers_MgC_ha_month,fruits_MgC_ha_month,seeds_MgC_ha_month,bromeliads_MgC_ha_month,epiphytes_MgC_ha_month,other_MgC_ha_month,palm_leaves_MgC_ha_month,palm_flowers_MgC_ha_month,palm_fruits_MgC_ha_month,total_litterfall_MgC_ha_month,quality_code,comments,date,DaysBetween
1,ABA-00,2013,5,28,1,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
2,ABA-00,2013,5,28,2,2,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
3,ABA-00,2013,5,28,3,3,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
4,ABA-00,2013,5,28,4,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
5,ABA-00,2013,5,28,5,5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
6,ABA-00,2013,5,28,6,6,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
7,ABA-00,2013,5,28,7,7,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
8,ABA-00,2013,5,28,8,8,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
9,ABA-00,2013,5,28,9,9,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
10,ABA-00,2013,5,28,10,10,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
11,ABA-00,2013,5,28,11,11,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
12,ABA-00,2013,5,28,12,12,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good,NA,28/05/2013,NA
13,ABA-00,2013,6,21,1,1,0.25,25.4555,0.00196,0.015435,NA,NA,0.00882,0.006125,NA,NA,NA,NA,25.4555,good,NA,21/06/2013,24
14,ABA-00,2013,6,21,2,2,0.25,9.604,NA,0.008085,NA,NA,NA,0.00343,NA,NA,NA,NA,9.604,good,NA,21/06/2013,24
15,ABA-00,2013,6,21,3,3,0.25,19.453,NA,0.000735,0.00049,NA,0.01617,0.00049,0.000735,NA,NA,NA,19.453,good,NA,21/06/2013,24
16,ABA-00,2013,6,21,4,4,0.25,6.076,0.14651,0.043365,NA,NA,NA,0.00049,NA,NA,NA,NA,6.076,good,NA,21/06/2013,24
17,ABA-00,2013,6,21,5,5,0.25,9.7755,0.050225,NA,0.002205,NA,NA,0.011025,NA,NA,NA,NA,9.7755,good,NA,21/06/2013,24
18,ABA-00,2013,6,21,6,6,0.25,18.6935,NA,0.00147,NA,NA,NA,0.000245,NA,NA,NA,NA,18.6935,good,NA,21/06/2013,24
19,ABA-00,2013,6,21,7,7,0.25,6.2475,0.005145,0.000245,NA,NA,NA,0.001715,NA,NA,NA,NA,6.2475,good,NA,21/06/2013,24
20,ABA-00,2013,6,21,8,8,0.25,13.1075,NA,NA,0.008085,NA,NA,0.00098,NA,NA,NA,NA,13.1075,good,NA,21/06/2013,24
21,ABA-00,2013,6,21,9,9,0.25,11.3925,NA,NA,0.01078,NA,NA,0.00735,NA,NA,NA,NA,11.3925,good,NA,21/06/2013,24
22,ABA-00,2013,6,21,10,10,0.25,6.6885,0.006615,NA,0.00049,NA,NA,0.00245,NA,NA,NA,NA,6.6885,good,NA,21/06/2013,24
23,ABA-00,2013,6,21,11,11,0.25,18.228,0.030625,0.005145,NA,NA,NA,0.06615,NA,NA,NA,NA,18.228,good,NA,21/06/2013,24
24,ABA-00,2013,6,21,12,12,0.25,19.1345,NA,NA,0.000735,NA,NA,NA,NA,NA,NA,NA,19.1345,good,NA,21/06/2013,24
25,ABA-00,2013,7,25,1,1,0.25,9.183176471,0.002421176,0.008474118,0.003631765,NA,NA,NA,NA,NA,NA,NA,9.183176471,good,NA,25/07/2013,34
26,ABA-00,2013,7,25,2,2,0.25,6.986823529,NA,0.001729412,NA,NA,NA,NA,NA,NA,NA,NA,6.986823529,good,NA,25/07/2013,34
27,ABA-00,2013,7,25,3,3,0.25,11.81188235,NA,0.002075294,NA,NA,NA,0.000172941,NA,NA,NA,NA,11.81188235,good,NA,25/07/2013,34
28,ABA-00,2013,7,25,4,4,0.25,10.68776471,NA,0.014354118,NA,NA,NA,0.000345882,NA,NA,NA,NA,10.68776471,good,NA,25/07/2013,34
29,ABA-00,2013,7,25,5,5,0.25,10.48023529,0.008647059,0.044618824,0.000691765,NA,NA,0.003112941,NA,NA,NA,NA,10.48023529,good,NA,25/07/2013,34
30,ABA-00,2013,7,25,6,6,0.25,15.94517647,NA,0.000864706,0.000518824,NA,NA,NA,NA,NA,NA,NA,15.94517647,good,NA,25/07/2013,34
31,ABA-00,2013,7,25,7,7,0.25,5.897294118,NA,0.001037647,NA,NA,NA,NA,NA,NA,NA,NA,5.897294118,good,NA,25/07/2013,34
32,ABA-00,2013,7,25,8,8,0.25,6.329647059,NA,0.000691765,NA,NA,NA,0.000345882,NA,NA,NA,NA,6.329647059,good,NA,25/07/2013,34
33,ABA-00,2013,7,25,9,9,0.25,0.951176471,NA,NA,0.014008235,NA,NA,0.000172941,NA,NA,NA,NA,0.951176471,good,NA,25/07/2013,34
34,ABA-00,2013,7,25,10,10,0.25,1.608352941,NA,0.001729412,NA,NA,0.005361176,0.034934118,NA,NA,NA,NA,1.608352941,good,NA,25/07/2013,34
35,ABA-00,2013,7,25,11,11,0.25,11.05094118,NA,0.002767059,0.001729412,NA,NA,0.000864706,NA,NA,NA,NA,11.05094118,good,NA,25/07/2013,34
36,ABA-00,2013,7,25,12,12,0.25,13.57588235,NA,NA,0.000691765,NA,NA,NA,NA,NA,NA,NA,13.57588235,good,NA,25/07/2013,34
37,ABA-00,2013,8,28,1,1,0.25,17.31141176,0.008128235,0.005188235,0.005707059,NA,NA,0.000172941,NA,NA,NA,NA,17.31141176,good,NA,28/08/2013,34
38,ABA-00,2013,8,28,2,2,0.25,7.021411765,NA,0.003112941,NA,NA,NA,0.000345882,NA,NA,NA,NA,7.021411765,good,NA,28/08/2013,34
39,ABA-00,2013,8,28,3,3,0.25,14.26764706,0.012624706,0.001902353,0.002594118,NA,NA,0.004323529,NA,NA,NA,NA,14.26764706,good,NA,28/08/2013,34
40,ABA-00,2013,8,28,4,4,0.25,6.796588235,NA,0.003631765,NA,NA,NA,0.003112941,NA,NA,NA,NA,6.796588235,good,NA,28/08/2013,34
41,ABA-00,2013,8,28,5,5,0.25,7.989882353,NA,0.163602353,NA,NA,NA,NA,NA,NA,NA,NA,7.989882353,good,NA,28/08/2013,34
42,ABA-00,2013,8,28,6,6,0.25,19.55964706,NA,0.004669412,NA,NA,NA,0.000345882,NA,NA,NA,NA,19.55964706,good,NA,28/08/2013,34
43,ABA-00,2013,8,28,7,7,0.25,9.926823529,0.002075294,NA,NA,NA,NA,0.003804706,NA,NA,NA,NA,9.926823529,good,NA,28/08/2013,34
44,ABA-00,2013,8,28,8,8,0.25,11.466,0.006917647,0.001210588,NA,NA,NA,0.002767059,0.000691765,NA,NA,NA,11.466,good,NA,28/08/2013,34
45,ABA-00,2013,8,28,9,9,0.25,11.95023529,NA,NA,0.004669412,NA,NA,0.000172941,NA,NA,NA,NA,11.95023529,good,NA,28/08/2013,34
46,ABA-00,2013,8,28,10,10,0.25,11.60435294,0.007436471,NA,0.000345882,NA,0.009857647,0.005361176,NA,NA,NA,NA,11.60435294,good,NA,28/08/2013,34
47,ABA-00,2013,8,28,11,11,0.25,14.49247059,NA,0.017985882,0.033896471,NA,NA,0.001902353,NA,NA,NA,NA,14.49247059,good,NA,28/08/2013,34
48,ABA-00,2013,8,28,12,12,0.25,15.13235294,NA,0.001037647,NA,NA,NA,0.000691765,NA,NA,NA,NA,15.13235294,good,NA,28/08/2013,34
49,ABA-00,2013,9,25,1,1,0.25,26.712,0.02667,NA,0.00294,NA,NA,0.00525,NA,NA,NA,NA,26.712,good,NA,25/09/2013,28
50,ABA-00,2013,9,25,2,2,0.25,9.912,0.00798,NA,0.00168,NA,NA,0.00672,NA,NA,NA,NA,9.912,good,NA,25/09/2013,28
51,ABA-00,2013,9,25,3,3,0.25,11.361,0.01302,0.00483,0.00147,NA,NA,0.0021,0.01008,NA,NA,NA,11.361,good,NA,25/09/2013,28
52,ABA-00,2013,9,25,4,4,0.25,7.413,0.00063,0.00168,0.00336,NA,NA,0.00084,0.0084,NA,NA,NA,7.413,good,NA,25/09/2013,28
53,ABA-00,2013,9,25,5,5,0.25,17.073,0.02268,0.05733,0.00042,NA,NA,0.00126,0.00462,NA,NA,NA,17.073,good,NA,25/09/2013,28
54,ABA-00,2013,9,25,6,6,0.25,15.582,0.00756,0.00378,0.00042,NA,NA,0.00084,0.00357,NA,NA,NA,15.582,good,NA,25/09/2013,28
55,ABA-00,2013,9,25,7,7,0.25,8.127,0.00126,NA,0.00336,NA,NA,0.00462,0.00042,NA,NA,NA,8.127,good,NA,25/09/2013,28
56,ABA-00,2013,9,25,8,8,0.25,8.778,NA,0.00399,0.00063,NA,NA,0.00231,0.00525,NA,NA,NA,8.778,good,NA,25/09/2013,28
57,ABA-00,2013,9,25,9,9,0.25,13.818,NA,0.00672,0.00084,NA,NA,NA,NA,NA,NA,NA,13.818,good,NA,25/09/2013,28
58,ABA-00,2013,9,25,10,10,0.25,17.472,0.00168,0.00504,0.00168,NA,0.00294,NA,NA,NA,NA,NA,17.472,good,NA,25/09/2013,28
59,ABA-00,2013,9,25,11,11,0.25,23.646,0.00315,NA,0.03444,NA,NA,0.00525,0.00147,NA,NA,NA,23.646,good,NA,25/09/2013,28
60,ABA-00,2013,9,25,12,12,0.25,17.577,0.01638,0.00462,0.01827,NA,NA,NA,NA,NA,NA,NA,17.577,good,NA,25/09/2013,28
61,ABA-00,2013,10,20,1,1,0.25,21.59136,0.048216,NA,0.0037632,NA,NA,0.0136416,0.0150528,NA,NA,NA,21.59136,good,NA,20/10/2013,25
62,ABA-00,2013,10,20,2,2,0.25,23.82576,NA,0.0032928,0.002352,NA,NA,0.0014112,NA,NA,NA,NA,23.82576,good,NA,20/10/2013,25
63,ABA-00,2013,10,20,3,3,0.25,14.48832,0.0381024,0.0030576,0.0030576,NA,NA,0.0032928,NA,NA,NA,NA,14.48832,good,NA,20/10/2013,25
64,ABA-00,2013,10,20,4,4,0.25,11.54832,NA,0.0014112,0.002352,NA,NA,0.0028224,NA,NA,NA,NA,11.54832,good,NA,20/10/2013,25
65,ABA-00,2013,10,20,5,5,0.25,12.32448,0.0265776,NA,0.0221088,NA,NA,0.0037632,0.0087024,NA,NA,NA,12.32448,good,NA,20/10/2013,25
66,ABA-00,2013,10,20,6,6,0.25,15.4056,0.027048,0.0009408,0.0018816,NA,NA,0.00588,NA,NA,NA,NA,15.4056,good,NA,20/10/2013,25
67,ABA-00,2013,10,20,7,7,0.25,12.51264,NA,NA,0.0028224,NA,NA,0.0131712,NA,NA,NA,NA,12.51264,good,NA,20/10/2013,25
68,ABA-00,2013,10,20,8,8,0.25,12.01872,0.0303408,NA,0.007056,NA,NA,0.1686384,NA,NA,NA,NA,12.01872,good,NA,20/10/2013,25
69,ABA-00,2013,10,20,9,9,0.25,16.36992,NA,NA,0.0061152,NA,NA,NA,NA,NA,NA,NA,16.36992,good,NA,20/10/2013,25
70,ABA-00,2013,10,20,10,10,0.25,23.8728,NA,NA,0.0014112,NA,NA,0.0032928,NA,NA,NA,NA,23.8728,good,NA,20/10/2013,25
71,ABA-00,2013,10,20,11,11,0.25,25.5192,0.043512,0.0171696,0.0127008,NA,NA,0.0402192,0.0018816,NA,NA,NA,25.5192,good,NA,20/10/2013,25
72,ABA-00,2013,10,20,12,12,0.25,1.90512,0.004704,NA,0.0018816,NA,NA,0.014112,0.0002352,NA,NA,NA,1.90512,good,NA,20/10/2013,25
73,ABA-00,2013,11,20,1,1,0.25,24.43045161,0.029969032,NA,0.001896774,NA,NA,0.056903226,0.004552258,NA,NA,NA,24.43045161,good,NA,20/11/2013,31
