"","plot_code","year","month","sub_plot","Treatment_code","quadrat_num","Plants_type","dry_mass_g","note","is_stock","day","quadrat_area_m2","date","DaysBetween","npp_g_m2_per_day","npp_MgC_ha_year"
"1","ABC-01",2019,3,"1","caged","A1","grass ",0.92,"","N",15,0.25,2019-03-15,90,0.0408888888888889,0.0746222222222222
"2","ABC-01",2019,3,"1","caged","A1","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"3","ABC-01",2019,3,"1","caged","A1","herbs",0.06,"","N",15,0.25,2019-03-15,90,0.00266666666666667,0.00486666666666667
"4","ABC-01",2019,3,"1","caged","A5","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"5","ABC-01",2019,3,"1","caged","A5","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"6","ABC-01",2019,3,"1","caged","A5","herbs",0.8,"","N",15,0.25,2019-03-15,90,0.0355555555555556,0.0648888888888889
"7","ABC-01",2019,3,"1","open","B3","grass ",44.57,"","N",15,0.25,2019-03-15,90,1.98088888888889,3.61512222222222
"8","ABC-01",2019,3,"1","open","B3","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"9","ABC-01",2019,3,"1","open","B3","herbs",1.73,"","N",15,0.25,2019-03-15,90,0.0768888888888889,0.140322222222222
"10","ABC-01",2019,3,"1","caged","C2","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"11","ABC-01",2019,3,"1","caged","C2","woody",2.17,"","N",15,0.25,2019-03-15,90,0.0964444444444444,0.176011111111111
"12","ABC-01",2019,3,"1","caged","C2","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"13","ABC-01",2019,3,"1","caged","C4","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"14","ABC-01",2019,3,"1","caged","C4","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"15","ABC-01",2019,3,"1","caged","C4","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"16","ABC-01",2019,3,"1","open","D2","grass ",5.65,"","N",15,0.25,2019-03-15,90,0.251111111111111,0.458277777777778
"17","ABC-01",2019,3,"1","open","D2","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"18","ABC-01",2019,3,"1","open","D2","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"19","ABC-01",2019,3,"1","open","D4","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"20","ABC-01",2019,3,"1","open","D4","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"21","ABC-01",2019,3,"1","open","D4","herbs",0.65,"","N",15,0.25,2019-03-15,90,0.0288888888888889,0.0527222222222222
"22","ABC-01",2019,3,"1","caged","E3","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"23","ABC-01",2019,3,"1","caged","E3","woody",2.88,"","N",15,0.25,2019-03-15,90,0.128,0.2336
"24","ABC-01",2019,3,"1","caged","E3","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"25","ABC-01",2019,3,"1","open","F1","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"26","ABC-01",2019,3,"1","open","F1","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"27","ABC-01",2019,3,"1","open","F1","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"28","ABC-01",2019,3,"1","open","F5","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"29","ABC-01",2019,3,"1","open","F5","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"30","ABC-01",2019,3,"1","open","F5","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"31","ABC-01",2019,3,"2","caged","A1","grass ",27.19,"","N",15,0.25,2019-03-15,90,1.20844444444444,2.20541111111111
"32","ABC-01",2019,3,"2","caged","A1","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"33","ABC-01",2019,3,"2","caged","A1","herbs",10.79,"","N",15,0.25,2019-03-15,90,0.479555555555556,0.875188888888889
"34","ABC-01",2019,3,"2","caged","A5","grass ",15.75,"","N",15,0.25,2019-03-15,90,0.7,1.2775
"35","ABC-01",2019,3,"2","caged","A5","woody",8.79,"","N",15,0.25,2019-03-15,90,0.390666666666667,0.712966666666667
"36","ABC-01",2019,3,"2","caged","A5","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"37","ABC-01",2019,3,"2","open","B3","grass ",33.67,"","N",15,0.25,2019-03-15,90,1.49644444444444,2.73101111111111
"38","ABC-01",2019,3,"2","open","B3","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"39","ABC-01",2019,3,"2","open","B3","herbs",7.98,"","N",15,0.25,2019-03-15,90,0.354666666666667,0.647266666666667
"40","ABC-01",2019,3,"2","caged","C2","grass ",22.74,"","N",15,0.25,2019-03-15,90,1.01066666666667,1.84446666666667
"41","ABC-01",2019,3,"2","caged","C2","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"42","ABC-01",2019,3,"2","caged","C2","herbs",4.84,"","N",15,0.25,2019-03-15,90,0.215111111111111,0.392577777777778
"43","ABC-01",2019,3,"2","caged","C4","grass ",23.35,"","N",15,0.25,2019-03-15,90,1.03777777777778,1.89394444444444
"44","ABC-01",2019,3,"2","caged","C4","woody",0,"","N",15,0.25,2019-03-15,90,0,0
