plot_code,year,month,sub_plot,Treatment_code,quadrat_num,Plants_type,dry_mass_g,note,is_stock,day,quadrat_area_m2
ABC-01,2018,12,1,caged,A1,grass,32.15,,Y,15,0.25
ABC-01,2018,12,1,caged,A2,grass,94.98,,Y,15,0.25
ABC-01,2018,12,1,caged,A3,grass,30.46,,Y,15,0.25
ABC-01,2018,12,1,caged,A4,grass,55.4,,Y,15,0.25
ABC-01,2018,12,1,caged,A5,grass,32.75,,Y,15,0.25
ABC-01,2018,12,1,open,B1,grass,50.5,,Y,15,0.25
ABC-01,2018,12,1,open,B2,grass,27.4,,Y,15,0.25
ABC-01,2018,12,1,open,B3,grass,77.7,,Y,15,0.25
ABC-01,2018,12,1,open,B4,grass,48.96,,Y,15,0.25
ABC-01,2018,12,1,open,B5,grass,103.8,,Y,15,0.25
ABC-01,2018,12,1,caged,C1,grass,71.4,,Y,15,0.25
ABC-01,2018,12,1,caged,C2,grass,52.63,,Y,15,0.25
ABC-01,2018,12,1,caged,C3,grass,53.5,,Y,15,0.25
ABC-01,2018,12,1,caged,C4,grass,49.38,,Y,15,0.25
ABC-01,2018,12,1,caged,C5,grass,36.14,,Y,15,0.25
ABC-01,2018,12,1,open,D1,grass,48.59,,Y,15,0.25
ABC-01,2018,12,1,open,D2,grass,68.07,,Y,15,0.25
ABC-01,2018,12,1,open,D3,grass,37.71,,Y,15,0.25
ABC-01,2018,12,1,open,D4,grass,79.61,,Y,15,0.25
ABC-01,2018,12,1,open,D5,grass,55,,Y,15,0.25
ABC-01,2018,12,1,caged,E1,grass,59.36,,Y,15,0.25
ABC-01,2018,12,1,caged,E2,grass,36.1,,Y,15,0.25
ABC-01,2018,12,1,caged,E3,grass,36.2,,Y,15,0.25
ABC-01,2018,12,1,caged,E4,grass,56.89,,Y,15,0.25
ABC-01,2018,12,1,caged,E5,grass,72.93,,Y,15,0.25
ABC-01,2018,12,1,open,F1,grass,53.03,,Y,15,0.25
ABC-01,2018,12,1,open,F2,grass,88.71,,Y,15,0.25
ABC-01,2018,12,1,open,F3,grass,17.93,,Y,15,0.25
ABC-01,2018,12,1,open,F4,grass,50.08,,Y,15,0.25
ABC-01,2018,12,1,open,F5,grass,38.61,,Y,15,0.25
ABC-01,2018,12,2,caged,A1,grass,18.32,,Y,15,0.25
ABC-01,2018,12,2,caged,A2,grass,25.97,,Y,15,0.25
ABC-01,2018,12,2,caged,A3,grass,40.54,,Y,15,0.25
ABC-01,2018,12,2,caged,A4,grass,24.14,,Y,15,0.25
ABC-01,2018,12,2,caged,A5,grass,31.93,,Y,15,0.25
ABC-01,2018,12,2,open,B1,grass,26.71,,Y,15,0.25
ABC-01,2018,12,2,open,B2,grass,51.5,,Y,15,0.25
ABC-01,2018,12,2,open,B3,grass,66.4,,Y,15,0.25
ABC-01,2018,12,2,open,B4,grass,113.4,,Y,15,0.25
ABC-01,2018,12,2,open,B5,grass,23.96,,Y,15,0.25
ABC-01,2018,12,2,caged,C1,grass,47.8,,Y,15,0.25
ABC-01,2018,12,2,caged,C2,grass,30.66,,Y,15,0.25
ABC-01,2018,12,2,caged,C3,grass,37.65,,Y,15,0.25
ABC-01,2018,12,2,caged,C4,grass,69.7,,Y,15,0.25
ABC-01,2018,12,2,caged,C5,grass,103.05,,Y,15,0.25
ABC-01,2018,12,2,open,D1,grass,20.58,,Y,15,0.25
ABC-01,2018,12,2,open,D2,grass,57.95,,Y,15,0.25
ABC-01,2018,12,2,open,D3,grass,40.17,,Y,15,0.25
ABC-01,2018,12,2,open,D4,grass,17.71,,Y,15,0.25
ABC-01,2018,12,2,open,D5,grass,24.55,,Y,15,0.25
ABC-01,2018,12,2,caged,E1,grass,124.58,,Y,15,0.25
ABC-01,2018,12,2,caged,E2,grass,85.81,,Y,15,0.25
ABC-01,2018,12,2,caged,E3,grass,53.21,,Y,15,0.25
