"","plot_code","year","month","sub_plot","Treatment_code","quadrat_num","Plants_type","dry_mass_g","note","is_stock","day","quadrat_area_m2","date","DaysBetween","npp_g_m2_per_day","npp_MgC_ha_year"
"1","TMA-01",2019,3,"1","caged","A1","grass ",0.92,"","N",15,0.25,2019-03-15,90,0.0408888888888889,0.0746222222222222
"2","TMA-01",2019,3,"1","caged","A1","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"3","TMA-01",2019,3,"1","caged","A1","herbs",0.06,"","N",15,0.25,2019-03-15,90,0.00266666666666667,0.00486666666666667
"4","TMA-01",2019,3,"1","caged","A5","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"5","TMA-01",2019,3,"1","caged","A5","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"6","TMA-01",2019,3,"1","caged","A5","herbs",0.8,"","N",15,0.25,2019-03-15,90,0.0355555555555556,0.0648888888888889
"7","TMA-01",2019,3,"1","open","B3","grass ",44.57,"","N",15,0.25,2019-03-15,90,1.98088888888889,3.61512222222222
"8","TMA-01",2019,3,"1","open","B3","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"9","TMA-01",2019,3,"1","open","B3","herbs",1.73,"","N",15,0.25,2019-03-15,90,0.0768888888888889,0.140322222222222
"10","TMA-01",2019,3,"1","caged","C2","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"11","TMA-01",2019,3,"1","caged","C2","woody",2.17,"","N",15,0.25,2019-03-15,90,0.0964444444444444,0.176011111111111
"12","TMA-01",2019,3,"1","caged","C2","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"13","TMA-01",2019,3,"1","caged","C4","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"14","TMA-01",2019,3,"1","caged","C4","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"15","TMA-01",2019,3,"1","caged","C4","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"16","TMA-01",2019,3,"1","open","D2","grass ",5.65,"","N",15,0.25,2019-03-15,90,0.251111111111111,0.458277777777778
"17","TMA-01",2019,3,"1","open","D2","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"18","TMA-01",2019,3,"1","open","D2","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"19","TMA-01",2019,3,"1","open","D4","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"20","TMA-01",2019,3,"1","open","D4","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"21","TMA-01",2019,3,"1","open","D4","herbs",0.65,"","N",15,0.25,2019-03-15,90,0.0288888888888889,0.0527222222222222
"22","TMA-01",2019,3,"1","caged","E3","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"23","TMA-01",2019,3,"1","caged","E3","woody",2.88,"","N",15,0.25,2019-03-15,90,0.128,0.2336
"24","TMA-01",2019,3,"1","caged","E3","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"25","TMA-01",2019,3,"1","open","F1","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"26","TMA-01",2019,3,"1","open","F1","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"27","TMA-01",2019,3,"1","open","F1","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"28","TMA-01",2019,3,"1","open","F5","grass ",0,"","N",15,0.25,2019-03-15,90,0,0
"29","TMA-01",2019,3,"1","open","F5","woody",0,"","N",15,0.25,2019-03-15,90,0,0
"30","TMA-01",2019,3,"1","open","F5","herbs",0,"","N",15,0.25,2019-03-15,90,0,0
"31","TMA-01",2019,7,"1","caged","A2","grass ",50.36,"","N",15,0.25,2019-07-15,122,1.65114754098361,3.01334426229508
