"","plot_code","year","month","day","is_stock","ingrowth_core_num","DaysBetween","time_step_minutes","core_id","core_sample_id","number_of_timesteps","estimate_of_120","method_of_estimate","date","npp_g_per_day","npp_MgC_ha_year"
"1","ABC-01","2013","6","20","N","1",124,10,"ABC-01_1","ABC-01_1_2013_6_20_N",4,0.856340150078152,"Logarithmic",2013-06-20,0.00690596895224316,1.25368271840581
"2","ABC-01","2013","9","25","N","1",97,10,"ABC-01_1","ABC-01_1_2013_9_25_N",4,0.298212683105505,"Logarithmic",2013-09-25,0.00307435755778872,0.558106902456908
"3","ABC-01","2013","12","10","N","1",76,10,"ABC-01_1","ABC-01_1_2013_12_10_N",4,0.0788440162584042,"Logarithmic",2013-12-10,0.00103742126655795,0.188329418012793
"4","ABC-01","2014","3","15","N","1",95,10,"ABC-01_1","ABC-01_1_2014_3_15_N",4,0.0904687865954392,"Logarithmic",2014-03-15,0.000952303016794097,0.172877382319057
"5","ABC-01","2013","6","20","N","10",124,10,"ABC-01_10","ABC-01_10_2013_6_20_N",4,0.998586904950877,"Logarithmic",2013-06-20,0.00805312020121675,1.46193209024359
"6","ABC-01","2013","9","25","N","10",97,10,"ABC-01_10","ABC-01_10_2013_9_25_N",4,0.387068250635458,"Logarithmic",2013-09-25,0.00399039433644803,0.724400653090739
"7","ABC-01","2013","12","10","N","10",76,10,"ABC-01_10","ABC-01_10_2013_12_10_N",4,6.14082188485349,"Logarithmic",2013-12-10,0.0808002879585986,14.6681697175898
"8","ABC-01","2014","3","15","N","10",95,10,"ABC-01_10","ABC-01_10_2014_3_15_N",4,0.0799585160125542,"Logarithmic",2014-03-15,0.000841668589605834,0.152793239111086
"9","ABC-01","2013","6","20","N","11",124,10,"ABC-01_11","ABC-01_11_2013_6_20_N",4,0.725905823198178,"Logarithmic",2013-06-20,0.00585407921934014,1.06272675133899
"10","ABC-01","2013","9","25","N","11",97,10,"ABC-01_11","ABC-01_11_2013_9_25_N",4,2.64728352319847,"Logarithmic",2013-09-25,0.0272915827133863,4.95440767867941
"11","ABC-01","2013","12","10","N","11",76,10,"ABC-01_11","ABC-01_11_2013_12_10_N",4,0,"just_maximum",2013-12-10,0,0
"12","ABC-01","2014","3","15","N","11",95,10,"ABC-01_11","ABC-01_11_2014_3_15_N",4,0,"just_maximum",2014-03-15,0,0
"13","ABC-01","2013","6","20","N","12",124,10,"ABC-01_12","ABC-01_12_2013_6_20_N",4,0.8908568248463,"Logarithmic",2013-06-20,0.00718432923263145,1.30421516004096
"14","ABC-01","2013","9","25","N","12",97,10,"ABC-01_12","ABC-01_12_2013_9_25_N",4,0.777143062615649,"Logarithmic",2013-09-25,0.0080117841506768,1.45442810455129
"15","ABC-01","2013","12","10","N","12",76,10,"ABC-01_12","ABC-01_12_2013_12_10_N",4,0.069774597332067,"Logarithmic",2013-12-10,0.000918086807000881,0.166665904798126
"16","ABC-01","2014","3","15","N","12",95,10,"ABC-01_12","ABC-01_12_2014_3_15_N",4,0.530862741618502,"Logarithmic",2014-03-15,0.00558802885914212,1.01442900469222
"17","ABC-01","2013","6","20","N","13",124,10,"ABC-01_13","ABC-01_13_2013_6_20_N",4,0.353184548074226,"Logarithmic",2013-06-20,0.00284826248446957,0.517062483042766
"18","ABC-01","2013","9","25","N","13",97,10,"ABC-01_13","ABC-01_13_2013_9_25_N",4,0.523169036454375,"Logarithmic",2013-09-25,0.00539349522117913,0.979114125382838
"19","ABC-01","2013","12","10","N","13",76,10,"ABC-01_13","ABC-01_13_2013_12_10_N",4,0.156065340928987,"Logarithmic",2013-12-10,0.00205349132801299,0.372782821372208
"20","ABC-01","2014","3","15","N","13",95,10,"ABC-01_13","ABC-01_13_2014_3_15_N",4,0.0581050287029461,"Logarithmic",2014-03-15,0.000611631881083643,0.111033270587111
"21","ABC-01","2013","6","20","N","14",124,10,"ABC-01_14","ABC-01_14_2013_6_20_N",4,0.276760843777731,"Logarithmic",2013-06-20,0.00223194228853009,0.405178114028505
"22","ABC-01","2013","9","25","N","14",97,10,"ABC-01_14","ABC-01_14_2013_9_25_N",4,0.495285898964597,"Logarithmic",2013-09-25,0.00510604019551131,0.926930659095811
"23","ABC-01","2013","12","10","N","14",76,10,"ABC-01_14","ABC-01_14_2013_12_10_N",4,0.393968718927753,"Logarithmic",2013-12-10,0.00518379893325991,0.941046677629142
"24","ABC-01","2014","3","15","N","14",95,10,"ABC-01_14","ABC-01_14_2014_3_15_N",4,0.0800148670473204,"Logarithmic",2014-03-15,0.000842261758392846,0.152900920663453
"25","ABC-01","2013","6","20","N","15",124,10,"ABC-01_15","ABC-01_15_2013_6_20_N",4,1.19016356753931,"Logarithmic",2013-06-20,0.00959809328660734,1.74240048952985
"26","ABC-01","2013","9","25","N","15",97,10,"ABC-01_15","ABC-01_15_2013_9_25_N",4,0.43261328191664,"Logarithmic",2013-09-25,0.00445993074140866,0.809638464125256
"27","ABC-01","2013","12","10","N","15",76,10,"ABC-01_15","ABC-01_15_2013_12_10_N",4,0.318444147840133,"Logarithmic",2013-12-10,0.00419005457684386,0.760646195847734
"28","ABC-01","2014","3","15","N","15",95,10,"ABC-01_15","ABC-01_15_2014_3_15_N",4,0.142243382456375,"Logarithmic",2014-03-15,0.00149729876269868,0.271813788342622
"29","ABC-01","2013","6","20","N","16",124,10,"ABC-01_16","ABC-01_16_2013_6_20_N",4,0.755910347146803,"Logarithmic",2013-06-20,0.00609605118666776,1.10665340028212
"30","ABC-01","2013","9","25","N","16",97,10,"ABC-01_16","ABC-01_16_2013_9_25_N",4,1.05544853307639,"Logarithmic",2013-09-25,0.0108809127121278,1.97527853397688
"31","ABC-01","2013","12","10","N","16",76,10,"ABC-01_16","ABC-01_16_2013_12_10_N",4,0.189248775510229,"Logarithmic",2013-12-10,0.00249011546723985,0.452045867814045
"32","ABC-01","2014","3","15","N","16",95,10,"ABC-01_16","ABC-01_16_2014_3_15_N",4,0.203477775018529,"Logarithmic",2014-03-15,0.00214187131598451,0.388826980322102
"33","ABC-01","2013","6","20","N","2",124,10,"ABC-01_2","ABC-01_2_2013_6_20_N",4,0.143241584771757,"Logarithmic",2013-06-20,0.00115517407073998,0.209705803668115
"34","ABC-01","2013","9","25","N","2",97,10,"ABC-01_2","ABC-01_2_2013_9_25_N",4,0.248149060360059,"Logarithmic",2013-09-25,0.00255823773567071,0.464412519222554
"35","ABC-01","2013","12","10","N","2",76,10,"ABC-01_2","ABC-01_2_2013_12_10_N",4,0.0724874491043828,"Logarithmic",2013-12-10,0.000953782225057668,0.173145912028615
"36","ABC-01","2014","3","15","N","2",95,10,"ABC-01_2","ABC-01_2_2014_3_15_N",4,1.0301162989099,"Logarithmic",2014-03-15,0.0108433294622095,1.96845581709964
"37","ABC-01","2013","6","20","N","3",124,10,"ABC-01_3","ABC-01_3_2013_6_20_N",4,1.14147257051814,"Logarithmic",2013-06-20,0.00920542395579142,1.6711168278893
"38","ABC-01","2013","9","25","N","3",97,10,"ABC-01_3","ABC-01_3_2013_9_25_N",4,0.96653709861092,"Logarithmic",2013-09-25,0.00996429998567959,1.80888022802364
