plot_code,year,month,day,ingrowth_core_num,is_stock,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ol_above_2mm_g,ml_under_2mm_g,ml_above_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,total_g,quality_code,comments,id
ABC-01,2013,2,16,1,Y,NA,NA,NA,30,NA,NA,10,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78,NA,,ABC-01_2013_2_16_1_Y
ABC-01,2013,2,16,1,Y,NA,NA,NA,30,NA,NA,10,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,,ABC-01_2013_2_16_1_Y
ABC-01,2013,2,16,1,Y,NA,NA,NA,30,NA,NA,10,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,ABC-01_2013_2_16_1_Y
ABC-01,2013,2,16,1,Y,NA,NA,NA,30,NA,NA,10,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,,ABC-01_2013_2_16_1_Y
ABC-01,2013,2,16,10,Y,NA,NA,NA,25,5,NA,10,2.46,NA,0.02,NA,0.28,NA,NA,NA,NA,NA,NA,NA,2.76,NA,,ABC-01_2013_2_16_10_Y
ABC-01,2013,2,16,10,Y,NA,NA,NA,25,5,NA,10,0.64,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,,ABC-01_2013_2_16_10_Y
ABC-01,2013,2,16,10,Y,NA,NA,NA,25,5,NA,10,0.18,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,,ABC-01_2013_2_16_10_Y
ABC-01,2013,2,16,10,Y,NA,NA,NA,25,5,NA,10,0.14,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,,ABC-01_2013_2_16_10_Y
ABC-01,2013,2,16,11,Y,NA,NA,NA,20,10,NA,10,4.27,NA,1.23,NA,0.92,NA,NA,NA,NA,NA,NA,NA,6.42,NA,,ABC-01_2013_2_16_11_Y
ABC-01,2013,2,16,11,Y,NA,NA,NA,20,10,NA,10,1.42,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,NA,,ABC-01_2013_2_16_11_Y
ABC-01,2013,2,16,11,Y,NA,NA,NA,20,10,NA,10,0.7,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,,ABC-01_2013_2_16_11_Y
ABC-01,2013,2,16,11,Y,NA,NA,NA,20,10,NA,10,0.36,NA,0.05,NA,NA,0.03,NA,NA,NA,NA,NA,NA,0.44,NA,,ABC-01_2013_2_16_11_Y
ABC-01,2013,2,16,12,Y,NA,NA,NA,10,20,NA,10,1.46,NA,0.93,NA,0.22,0.61,NA,NA,NA,NA,NA,NA,3.22,NA,,ABC-01_2013_2_16_12_Y
ABC-01,2013,2,16,12,Y,NA,NA,NA,10,20,NA,10,0.36,NA,0.27,NA,NA,0.3,NA,NA,NA,NA,NA,NA,0.93,NA,,ABC-01_2013_2_16_12_Y
ABC-01,2013,2,16,12,Y,NA,NA,NA,10,20,NA,10,0.15,NA,0.1,NA,NA,0.06,NA,NA,NA,NA,NA,NA,0.31,NA,,ABC-01_2013_2_16_12_Y
ABC-01,2013,2,16,12,Y,NA,NA,NA,10,20,NA,10,0.09,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,,ABC-01_2013_2_16_12_Y
ABC-01,2013,2,16,13,Y,NA,NA,NA,20,10,NA,10,1.79,NA,0.57,NA,0.22,0.33,NA,NA,NA,NA,NA,NA,2.91,NA,,ABC-01_2013_2_16_13_Y
ABC-01,2013,2,16,13,Y,NA,NA,NA,20,10,NA,10,0.67,NA,0.53,NA,NA,0.03,NA,NA,NA,NA,NA,NA,1.23,NA,,ABC-01_2013_2_16_13_Y
ABC-01,2013,2,16,13,Y,NA,NA,NA,20,10,NA,10,0.18,NA,0.18,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.56,NA,,ABC-01_2013_2_16_13_Y
ABC-01,2013,2,16,13,Y,NA,NA,NA,20,10,NA,10,0.1,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,,ABC-01_2013_2_16_13_Y
ABC-01,2013,2,16,14,Y,NA,NA,NA,20,10,NA,10,0.8,NA,0.28,NA,0.08,NA,NA,NA,NA,NA,NA,NA,1.16,NA,,ABC-01_2013_2_16_14_Y
ABC-01,2013,2,16,14,Y,NA,NA,NA,20,10,NA,10,0.51,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,NA,,ABC-01_2013_2_16_14_Y
ABC-01,2013,2,16,14,Y,NA,NA,NA,20,10,NA,10,0.14,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,,ABC-01_2013_2_16_14_Y
ABC-01,2013,2,16,14,Y,NA,NA,NA,20,10,NA,10,0.1,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,,ABC-01_2013_2_16_14_Y
ABC-01,2013,2,16,15,Y,NA,NA,NA,20,10,NA,10,1.32,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,1.66,NA,,ABC-01_2013_2_16_15_Y
ABC-01,2013,2,16,15,Y,NA,NA,NA,20,10,NA,10,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,NA,,ABC-01_2013_2_16_15_Y
ABC-01,2013,2,16,15,Y,NA,NA,NA,20,10,NA,10,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,,ABC-01_2013_2_16_15_Y
ABC-01,2013,2,16,15,Y,NA,NA,NA,20,10,NA,10,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,,ABC-01_2013_2_16_15_Y
ABC-01,2013,2,16,16,Y,NA,NA,NA,20,10,NA,10,1.92,NA,0.23,NA,0.58,NA,NA,NA,NA,NA,NA,NA,2.73,NA,,ABC-01_2013_2_16_16_Y
