"","year","month","plot","tree_number","correction","sun_or_shade","Assimilation"
"1",10,11,1,113,0,"sun",2.804166667
"2",10,11,1,133,0,"sun",6.14375
"3",10,11,1,141,0,"sun",10.9375
"4",10,11,1,24,0,"sun",-0.490045249
"5",10,11,1,30,0,"sun",0.530555556
"6",10,11,1,42,0,"sun",1.883939394
"7",10,11,1,55,0,"sun",3.86171875
"8",10,11,1,80,0,"sun",3.381818182
"9",10,11,1,86,0,"sun",5.135769231
"10",10,11,1,11,0,"sun",0.2
"11",10,11,1,141,0,"sun",7.241666667
"12",10,11,1,152,0,"sun",12.96547619
"13",10,11,1,166,0,"sun",0.944444444
"14",10,11,1,176,0,"sun",4.350833333
"15",10,11,1,19,0,"sun",0.25
"16",10,11,1,211,0,"sun",0.4
"17",10,11,1,223,0,"sun",2.460331384
"18",10,11,1,274,0,"sun",-0.417142857
"19",10,11,1,314,0,"sun",-0.527272727
"20",10,11,1,347,0,"sun",-0.26875
"21",10,11,1,374,0,"sun",-0.547189922
"22",10,11,2,100,0,"sun",0.176190476
"23",10,11,2,122,0,"sun",-0.471963563
"24",10,11,2,138,0,"sun",-0.179347826
"25",10,11,2,27,0,"sun",-0.05
"26",10,11,2,41,0,"sun",-0.438636364
"27",10,11,2,48,0,"sun",-0.451731602
"28",10,11,2,66,0,"sun",-0.382142857
"29",10,11,2,7,0,"sun",-0.265384615
"30",10,11,2,138,0,"sun",-0.48994709
"31",10,11,2,143,0,"sun",-0.899375
"32",10,11,2,155,0,"sun",1.192291667
"33",10,11,2,167,0,"sun",-0.448809524
"34",10,11,2,179,0,"sun",-0.3495671
"35",10,11,2,195,0,"sun",-0.750252525
"36",10,11,2,208,0,"sun",-0.163310185
"37",10,11,2,223,0,"sun",0.1
"38",10,11,2,236,0,"sun",-0.351392327
"39",10,11,2,252,0,"sun",-0.504166667
"40",10,11,2,271,0,"sun",-0.784090909
"41",10,11,2,277,0,"sun",-0.448561565
"42",10,11,2,330,0,"sun",-0.442105263
"43",10,11,2,346,0,"sun",0.022624434
"44",10,11,3,136,-0.078,"sun",7.795272727
"45",10,11,3,160,-0.078,"sun",4.239363636
"46",10,11,3,182,-0.078,"sun",4.341961039
"47",10,11,3,19,-0.078,"sun",6.854666667
"48",10,11,3,212,-0.078,"sun",5.505310924
"49",10,11,3,232,-0.078,"sun",7.461333333
"50",10,11,3,236,-0.078,"sun",7.538064935
"51",10,11,3,264,-0.078,"sun",5.135777778
"52",10,11,3,298,-0.078,"sun",8.883
"53",10,11,3,330,-0.078,"sun",7.887440559
"54",10,11,3,72,-0.078,"sun",10.54173626
"55",10,11,3,98,-0.078,"sun",7.847191919
"56",10,11,3,341,-0.078,"sun",12.41966667
"57",10,11,3,459,-0.078,"sun",7.936636364
"58",10,11,3,465,-0.078,"sun",3.825836538
"59",10,11,3,498,-0.078,"sun",6.441333333
"60",10,11,3,511,-0.078,"sun",8.261088235
"61",10,11,3,553,-0.078,"sun",6.037090909
"62",10,11,3,558,-0.078,"sun",8.353313283
"63",10,11,3,619,-0.078,"sun",9.089413043
"64",10,11,3,425,-0.078,"sun",10.888
"65",10,11,4,219,-0.078,"sun",0.019666667
"66",10,11,4,288,-0.078,"sun",4.661333333
"67",10,11,4,354,-0.078,"sun",2.158462185
"68",10,11,4,390,-0.078,"sun",0.884876457
