,year,month,plot_code,N.N,N.N,lai,lai_std
1,9,1,1,1.7,22,2,0.6
2,9,2,1,2.9,34,2.9,0.97
3,9,3,1,4.3,36,4.3,1.09
4,9,4,1,3,40,3,0.67
5,9,5,1,NA,NA,NA,NA
6,9,6,1,2.4,34,2.4,0.61
7,9,7,1,1.9,50,1.9,0.5
8,9,8,1,2.6,60,2.6,0.64
9,9,9,1,1.9,56,1.9,0.43
10,9,10,1,2.4,54,2.4,0.55
11,9,11,1,3.1,38,3.1,0.89
12,9,12,1,2.6,54,2.6,0.63
13,10,1,1,2.4,32,2.4,0.55
14,10,2,1,2.3,56,2.3,0.57
15,10,3,1,3.5,35,3.5,0.83
16,10,4,1,3.1,42,3.1,0.75
17,10,5,1,3.9,58,3.9,0.8
18,10,6,1,3.2,10,4,2.23
19,10,7,1,2.6,44,2.6,0.63
20,10,8,1,2.9,52,2.9,0.58
21,9,1,2,3.8,68,2.7,0.51
22,9,2,2,4.5,72,2.9,0.57
23,9,3,2,3.7,70,2.4,0.56
24,9,4,2,3.3,68,2.3,0.53
25,9,5,2,NA,NA,NA,NA
26,9,6,2,NA,NA,NA,NA
27,9,7,2,3.3,66,2.5,0.69
28,9,8,2,2.4,64,1.9,0.8
29,9,9,2,1.7,74,1,0.43
30,9,10,2,2.1,70,1.35,0.4
31,9,11,2,3.4,66,2.5,0.72
32,9,12,2,3.8,72,2.2,0.56
33,10,1,2,3.4,64,2.7,0.65
34,10,2,2,4,66,3.1,0.73
35,10,3,2,3.7,66,2.8,0.67
36,10,4,2,4,64,3,0.79
37,10,5,2,3.9,66,2.8,0.59
38,10,6,2,NA,NA,NA,NA
39,10,7,2,2.1,40,2.1,1.19
40,10,8,2,1,68,0.7,0.38
41,10,8,3,5.8,NA,5.8,0.96
42,10,8,4,5.7,NA,5.7,0.84
43,11,1,3,5.5,NA,5.5,0.96
44,11,2,3,5.9,NA,5.9,0.82
45,11,3,3,6.4,56,5.8,1.48
46,11,1,4,5.4,NA,5.4,0.79
47,11,2,4,5.1,NA,5.1,0.94
48,11,3,4,5.5,44,5.5,1.33
49,11,4,3,6.1,56,5.4,1.27
50,11,4,4,6,48,6,1.19
51,11,5,3,5.3,44,5.3,0.69
52,11,5,4,5.7,48,5.7,1.25
53,11,6,3,6.5,56,5.5,1.28
54,11,6,4,5.6,52,5.4,1.03
55,11,7,3,5.8,50,5.7,0.93
56,11,7,4,5.3,42,5.3,1.37
57,9,4,5,4.36,NA,4.36,0.568496067
58,9,6,5,4.12,NA,4.12,1.03726862
59,9,9,5,4.08,NA,4.08,0.958415938
60,10,5,5,3.34,NA,3.34,1.148497086
61,10,9,5,4.24,NA,4.24,1.299991026
62,10,12,5,4.1,NA,4.1,1.028394495
63,11,3,5,4.72,NA,4.72,1.054206581
64,11,8,5,4.1,NA,4.1,NA
65,9,4,6,3.083,NA,3.083,1.107771035
66,9,6,6,2.700714286,NA,2.700714286,1.205566986
67,9,9,6,2.5375,NA,2.5375,1.264446519
68,10,5,6,2.469,NA,2.469,1.068700665
69,10,9,6,2.685714286,NA,2.685714286,1.355616184
70,10,12,6,3.04,NA,3.04,0.92585096
71,11,3,6,1.445,NA,1.445,0.417193001
72,11,8,6,2.623333333,NA,2.623333333,1.10328298
