,year,month,plot_code,tree_tag,correction,sun_or_shade,Dark_resp
1,10,11,1,113,0,sun,-0.684774436
2,10,11,1,133,0,sun,-0.678947368
3,10,11,1,141,0,sun,NA
4,10,11,1,24,0,sun,-0.736030917
5,10,11,1,30,0,sun,-0.816319444
6,10,11,1,42,0,sun,-0.9
7,10,11,1,55,0,sun,-0.502272727
8,10,11,1,80,0,sun,-0.255
9,10,11,1,86,0,sun,-0.641021672
10,10,11,1,11,0,sun,-0.26
11,10,11,1,141,0,sun,NA
12,10,11,1,152,0,sun,-1.36875
13,10,11,1,166,0,sun,-1.592
14,10,11,1,176,0,sun,-1.4825
15,10,11,1,19,0,sun,-1.3
16,10,11,1,211,0,sun,-0.7
17,10,11,1,223,0,sun,-0.839814815
18,10,11,1,274,0,sun,-0.591897233
19,10,11,1,314,0,sun,-1.2
20,10,11,1,347,0,sun,-1.1875
21,10,11,1,374,0,sun,NA
22,10,11,2,100,0,sun,-1.005833333
23,10,11,2,122,0,sun,-1.284494774
24,10,11,2,138,0,sun,-1.952777778
25,10,11,2,27,0,sun,-2.565384615
26,10,11,2,41,0,sun,-0.820588235
27,10,11,2,48,0,sun,-0.411923077
28,10,11,2,66,0,sun,-0.865384615
29,10,11,2,7,0,sun,NA
30,10,11,2,138,0,sun,-1.1675
31,10,11,2,143,0,sun,-1.830506823
32,10,11,2,155,0,sun,-2.008241758
33,10,11,2,167,0,sun,-0.739204545
34,10,11,2,179,0,sun,-1.161309524
35,10,11,2,195,0,sun,-0.836868687
36,10,11,2,208,0,sun,-0.911785714
37,10,11,2,223,0,sun,-0.798701299
38,10,11,2,236,0,sun,-0.981081081
39,10,11,2,252,0,sun,-0.894909091
40,10,11,2,271,0,sun,-0.528446115
41,10,11,2,277,0,sun,-1.490833333
42,10,11,2,330,0,sun,-1.73125
43,10,11,2,346,0,sun,-0.884453782
44,10,11,3,136,-0.078,sun,-1.961935065
45,10,11,3,160,-0.078,sun,-0.67716129
46,10,11,3,182,-0.078,sun,-1.608363636
47,10,11,3,19,-0.078,sun,-0.512909091
48,10,11,3,212,-0.078,sun,-0.722
49,10,11,3,232,-0.078,sun,-0.712
50,10,11,3,236,-0.078,sun,-0.861285714
51,10,11,3,264,-0.078,sun,-0.322
52,10,11,3,298,-0.078,sun,-0.547
53,10,11,3,330,-0.078,sun,-1.343052632
54,10,11,3,72,-0.078,sun,-0.798666667
55,10,11,3,98,-0.078,sun,-1.122
56,10,11,3,341,-0.078,sun,-0.18454902
57,10,11,3,459,-0.078,sun,-0.379692308
58,10,11,3,465,-0.078,sun,-0.252
59,10,11,3,498,-0.078,sun,-0.103818182
60,10,11,3,511,-0.078,sun,-0.472
61,10,11,3,553,-0.078,sun,-0.238849817
62,10,11,3,558,-0.078,sun,-0.164857143
63,10,11,3,619,-0.078,sun,-0.705333333
64,10,11,3,425,-0.078,sun,-0.583764706
65,10,11,4,219,-0.078,sun,-0.324525253
66,10,11,4,288,-0.078,sun,-1.100125
67,10,11,4,354,-0.078,sun,-1.2295
68,10,11,4,390,-0.078,sun,-0.397555556
69,10,11,4,410,-0.078,sun,-1.067333333
70,10,11,4,439,-0.078,sun,-1.166736842
