,year,month,plot_code,tree_tag,correction,A_sun,A_shade,r_sun,r_shade
1,10,11,1,113,0,2.804166667,1.441666667,-0.684774436,-0.55
2,10,11,1,133,0,6.14375,1.74,-0.678947368,NA
3,10,11,1,141,0,10.9375,NA,NA,-0.8
4,10,11,1,24,0,-0.490045249,2.56875,-0.736030917,NA
5,10,11,1,30,0,0.530555556,3.109090909,-0.816319444,-1.05
6,10,11,1,42,0,1.883939394,2.044444444,-0.9,-0.383333333
7,10,11,1,55,0,3.86171875,2.263636364,-0.502272727,-0.36
8,10,11,1,80,0,3.381818182,2.727272727,-0.255,-0.327083333
9,10,11,1,86,0,5.135769231,7.494736842,-0.641021672,-0.442105263
10,10,11,1,11,0,0.2,0.133333333,-0.26,-0.5
11,10,11,1,141,0,7.241666667,NA,NA,-1.1
12,10,11,1,152,0,12.96547619,2.830434783,-1.36875,-0.652941176
13,10,11,1,166,0,0.944444444,0.270833333,-1.592,-0.553333333
14,10,11,1,176,0,4.350833333,2.85,-1.4825,-1.338888889
15,10,11,1,19,0,0.25,5.85,-1.3,-0.972727273
16,10,11,1,211,0,0.4,0.663888889,-0.7,-1.8
17,10,11,1,223,0,2.460331384,0,-0.839814815,-0.76
18,10,11,1,274,0,-0.417142857,-0.216,-0.591897233,-0.7
19,10,11,1,314,0,-0.527272727,-0.505,-1.2,-0.814285714
20,10,11,1,347,0,-0.26875,-0.283333333,-1.1875,-0.264285714
21,10,11,1,374,0,-0.547189922,1.445454545,NA,-0.608108108
22,10,11,2,100,0,0.176190476,NA,-1.005833333,NA
23,10,11,2,122,0,-0.471963563,NA,-1.284494774,NA
24,10,11,2,138,0,-0.179347826,NA,-1.952777778,NA
25,10,11,2,27,0,-0.05,NA,-2.565384615,NA
26,10,11,2,41,0,-0.438636364,NA,-0.820588235,NA
27,10,11,2,48,0,-0.451731602,NA,-0.411923077,NA
28,10,11,2,66,0,-0.382142857,NA,-0.865384615,NA
29,10,11,2,7,0,-0.265384615,NA,NA,NA
30,10,11,2,138,0,-0.48994709,NA,-1.1675,NA
31,10,11,2,143,0,-0.899375,NA,-1.830506823,NA
32,10,11,2,155,0,1.192291667,NA,-2.008241758,NA
33,10,11,2,167,0,-0.448809524,NA,-0.739204545,NA
34,10,11,2,179,0,-0.3495671,NA,-1.161309524,NA
35,10,11,2,195,0,-0.750252525,NA,-0.836868687,NA
