"","year","month","plot","point","N.N","temperature_C","volumetric_water_content","chamber_height","flux"
"1",8,11,1,1,472,22.2,17,4.45,0.88
"2",8,11,1,2,450,22.2,15,5.7,0.72
"3",8,11,1,3,488,22.4,19,4.7,0.68
"4",8,11,1,4,672,22.7,17,4.8,0.98
"5",8,11,1,5,577,22.8,12,4.1,0.85
"6",8,11,1,6,658,22.5,12,5,0.37
"7",8,11,1,7,31,22.5,16,4.6,0.52
"8",8,11,1,8,454,22.9,13,4.6,0.87
"9",8,11,1,9,599,22.8,8,5.5,0.51
"10",8,11,1,10,447,22.7,14,5,0.76
"11",8,11,1,11,458,23.3,10,4.6,1.05
"12",8,11,1,12,418,22.7,9,4.8,0.45
"13",8,11,1,13,438,22.9,7,4.9,0.47
"14",8,11,1,14,453,23.1,10,0.4,0.94
"15",8,11,1,15,451,23,11,4.8,0.52
"16",8,11,1,16,416,23.4,18,5.6,0.45
"17",8,11,1,17,497,23.3,23,4.8,0.71
"18",8,11,1,18,492,23.1,11,5.5,0.79
"19",8,11,1,19,464,23.4,11,5,0.69
"20",8,11,1,20,431,23.2,12,4.5,0.91
"21",8,11,1,21,442,23.2,14,4.5,0.43
"22",8,11,1,22,521,24.1,15,4.3,0.97
"23",8,11,1,23,469,23.8,15,5,1.24
"24",8,11,1,24,477,23.7,10,4.5,0.87
"25",8,11,1,25,424,23.8,10,4.5,0.76
"26",9,1,1,1,542,22,13,5.5,0.2
"27",9,1,1,2,492,22.3,14,5.4,0.51
"28",9,1,1,3,524,22,16,4.75,0.61
"29",9,1,1,4,659,22.8,12,4.25,0.36
"30",9,1,1,5,525,22.5,18,4.6,0.62
"31",9,1,1,6,525,22.4,11,5,0.4
"32",9,1,1,7,502,22.3,20,4,0.52
"33",9,1,1,8,512,22.1,13,4.35,0.34
"34",9,1,1,9,545,22.1,5,5.8,0.48
"35",9,1,1,10,507,22.2,9,5.35,0.45
"36",9,1,1,11,519,22.3,20,6,0.71
"37",9,1,1,12,500,22,9,5.8,0.38
"38",9,1,1,13,556,22.1,9,5,0.13
"39",9,1,1,14,535,22.5,7,4.7,1.67
"40",9,1,1,15,533,22.3,12,3.6,0.37
"41",9,1,1,16,464,22.9,16,6.5,0.47
"42",9,1,1,17,501,22.5,14,6.2,0.42
"43",9,1,1,18,553,22.4,14,5.6,0.61
"44",9,1,1,19,594,22.5,14,4.9,0.53
"45",9,1,1,20,540,22.2,10,4.7,0.3
"46",9,1,1,21,625,22.4,16,3,0.35
"47",9,1,1,22,471,23,15,4.2,0.57
"48",9,1,1,23,493,22.4,10,4.85,1.22
"49",9,1,1,24,513,23.3,14,4,0.53
"50",9,1,1,25,510,22.6,15,4.05,0.55
"51",9,2,1,1,561,22.8,24,4.5,0.41
"52",9,2,1,2,508,22.8,19,4.35,1.06
"53",9,2,1,3,500,22.7,22,4.6,0.9
"54",9,2,1,4,509,23.2,28,3.5,1.05
"55",9,2,1,5,544,22.9,20,4.35,0.76
"56",9,2,1,6,514,23,39,5.5,0.74
"57",9,2,1,7,504,22.9,28,4.5,0.54
"58",9,2,1,8,528,23.6,37,3.45,1.27
"59",9,2,1,9,778,22.9,34,6.1,0.68
"60",9,2,1,10,571,22.8,33,5.5,0.68
"61",9,2,1,11,493,229,27,5.5,0.7
"62",9,2,1,12,490,22.6,24,4.4,0.52
"63",9,2,1,13,470,22.8,24,4.75,0.65
"64",9,2,1,14,567,23.3,33,5.1,1.21
"65",9,2,1,15,478,23,43,3.75,0.73
"66",9,2,1,16,671,23,37,6,0.51
"67",9,2,1,17,530,23.1,35,6.4,0.66
"68",9,2,1,18,637,23.2,30,5.6,0.79
"69",9,2,1,19,541,23.6,30,5,0.61
"70",9,2,1,20,513,22.8,28,5.25,0.73
"71",9,2,1,21,635,23.4,36,2.5,0.44
"72",9,2,1,22,598,23.8,37,4.3,0.7
"73",9,2,1,23,441,23,26,4.5,1.18
"74",9,2,1,24,493,24.5,37,4.5,0.84
"75",9,2,1,25,518,23.7,30,3.7,0.5
"76",9,3,1,1,477,23.4,46,4.75,0.4
"77",9,3,1,2,490,23.1,35,3.9,0.51
"78",9,3,1,3,553,22.8,40,4.9,0.27
"79",9,3,1,4,494,23.1,50,3.75,0.81
"80",9,3,1,5,487,23.1,45,4.4,0.61
"81",9,3,1,6,487,23.1,47,5.1,0.54
"82",9,3,1,7,478,23.3,39,4,0.43
"83",9,3,1,8,477,23.8,35,2.75,0.66
"84",9,3,1,9,469,23.2,41,6.1,1.16
"85",9,3,1,10,459,23.3,41,5.75,0.47
"86",9,3,1,11,444,23.2,46,5.5,0.54
"87",9,3,1,12,459,23.1,34,5.1,0.48
"88",9,3,1,13,471,23.2,33,4.8,0.41
"89",9,3,1,14,503,23.9,38,4.75,1.02
"90",9,3,1,15,519,24.1,37,2.65,0.52
"91",9,3,1,16,509,24,43,7,0.46
"92",9,3,1,17,466,23.9,52,5.5,0.64
"93",9,3,1,18,522,23.7,39,6,0.62
"94",9,3,1,19,431,23.9,37,4.6,0.49
"95",9,3,1,20,685,23.5,42,4.9,0.42
"96",9,3,1,21,505,23.7,39,2.75,0.4
"97",9,3,1,22,648,23.9,42,4.25,0.27
"98",9,3,1,23,454,23.6,37,4.3,0.45
"99",9,3,1,24,546,24.6,37,3.25,0.43
"100",9,3,1,25,473,25.5,37,3.8,0.4
"101",9,4,1,1,534,23.9,20,4.4,0.47
"102",9,4,1,2,520,23.5,24,3,0.02
"103",9,4,1,3,622,23.5,24,5,0.66
"104",9,4,1,4,510,23.7,18,3.8,1.03
"105",9,4,1,5,487,23.7,23,4.5,0.4
"106",9,4,1,6,452,23.7,23,5.3,0.54
"107",9,4,1,7,527,23.4,31,4.1,0.57
"108",9,4,1,8,569,24.5,19,3,0.71
"109",9,4,1,9,452,24,21,6,0.04
"110",9,4,1,10,428,24.1,23,5.5,0.64
"111",9,4,1,11,529,23.7,21,5.3,0.67
"112",9,4,1,12,466,23.5,18,4.8,0.51
"113",9,4,1,13,599,24,21,2.5,0.92
"114",9,4,1,14,544,24.1,22,3.75,0.76
"115",9,4,1,15,444,24.4,19,3,0.6
"116",9,4,1,16,533,24.5,36,6.5,0.44
"117",9,4,1,17,496,24.4,28,5.8,0.75
"118",9,4,1,18,500,24.5,24,6,0.67
"119",9,4,1,19,586,24.6,24,4.8,0.59
"120",9,4,1,20,769,23.9,20,4.7,0.32
"121",9,4,1,21,441,24.6,28,2.5,0.37
"122",9,4,1,22,508,24.2,23,5,0.59
"123",9,4,1,23,450,24.4,17,4,0.77
"124",9,4,1,24,514,24.7,17,2.5,0.65
"125",9,4,1,25,441,24.8,25,3.7,0.52
"126",9,5,1,1,611,21.7,15,4.8,0.35
"127",9,5,1,2,685,21.5,16,2.4,0.31
"128",9,5,1,3,745,21.4,18,5,0.29
"129",9,5,1,4,758,21.7,13,4.3,0.47
"130",9,5,1,5,965,21.9,21,4.35,0.46
"131",9,5,1,6,611,21.5,18,5.1,0.45
"132",9,5,1,7,559,21.1,19,4.1,0.63
"133",9,5,1,8,560,21.7,13,4,0.54
"134",9,5,1,9,638,21.5,23,5.5,0.43
"135",9,5,1,10,595,21.7,17,6,0.36
"136",9,5,1,11,544,21.7,19,4.9,0.5
"137",9,5,1,12,488,21.5,15,4.85,0.39
"138",9,5,1,13,595,21.9,13,3,0.35
"139",9,5,1,14,505,21.7,15,4,0.77
