"","id","meas_int_days","bleavesflf_g_trap_day","btwigs","bflowers","bfruits","bbrom","bepi","bother","btotal","plot_code","num","year","month","day","collectiondate","leavesflf_MgC_ha_month","twigsflf_MgC_ha_month","flowersflf_MgC_ha_month","fruitsflf_MgC_ha_month","bromflf_MgC_ha_month","epiflf_MgC_ha_month","otherflf_MgC_ha_month","totalflf_MgC_ha_month"
"1","LPG-01.1.2014.1.27",13,NA,NA,NA,NA,NA,NA,NA,0.173846153846154,"LPG-01","1","2014","1","27",2014-01-27,NA,NA,NA,NA,NA,NA,NA,0.102221538461538
"2","LPG-01.1.2014.2.13",17,NA,NA,NA,NA,NA,NA,NA,0.744705882352941,"LPG-01","1","2014","2","13",2014-02-13,NA,NA,NA,NA,NA,NA,NA,0.437887058823529
"3","LPG-01.1.2014.2.26",13,NA,NA,NA,NA,NA,NA,NA,0.673846153846154,"LPG-01","1","2014","2","26",2014-02-26,NA,NA,NA,NA,NA,NA,NA,0.396221538461538
"4","LPG-01.1.2014.3.12",14,NA,NA,NA,NA,NA,NA,NA,0.338571428571429,"LPG-01","1","2014","3","12",2014-03-12,NA,NA,NA,NA,NA,NA,NA,0.19908
"5","LPG-01.1.2014.3.24",12,NA,NA,NA,NA,NA,NA,NA,1.50333333333333,"LPG-01","1","2014","3","24",2014-03-24,NA,NA,NA,NA,NA,NA,NA,0.88396
"6","LPG-01.1.2014.4.5",12,NA,NA,NA,NA,NA,NA,NA,1.48916666666667,"LPG-01","1","2014","4","5",2014-04-05,NA,NA,NA,NA,NA,NA,NA,0.87563
"7","LPG-01.1.2014.4.17",12,NA,NA,NA,NA,NA,NA,NA,1.42416666666667,"LPG-01","1","2014","4","17",2014-04-17,NA,NA,NA,NA,NA,NA,NA,0.83741
"8","LPG-01.1.2014.4.30",13,NA,NA,NA,NA,NA,NA,NA,0.944615384615385,"LPG-01","1","2014","4","30",2014-04-30,NA,NA,NA,NA,NA,NA,NA,0.555433846153846
"9","LPG-01.1.2014.5.12",12,NA,NA,NA,NA,NA,NA,NA,0.389166666666667,"LPG-01","1","2014","5","12",2014-05-12,NA,NA,NA,NA,NA,NA,NA,0.22883
"10","LPG-01.1.2014.5.29",17,NA,NA,NA,NA,NA,NA,NA,0.354117647058823,"LPG-01","1","2014","5","29",2014-05-29,NA,NA,NA,NA,NA,NA,NA,0.208221176470588
"11","LPG-01.1.2014.6.12",14,NA,NA,NA,NA,NA,NA,NA,0.692857142857143,"LPG-01","1","2014","6","12",2014-06-12,NA,NA,NA,NA,NA,NA,NA,0.4074
"12","LPG-01.1.2014.6.25",13,NA,NA,NA,NA,NA,NA,NA,0.275384615384615,"LPG-01","1","2014","6","25",2014-06-25,NA,NA,NA,NA,NA,NA,NA,0.161926153846154
