Tree ID,stem tag grouping,Pv. Tag No,tree_tag,T1,T2,X,Y,Family,Species,Tree Notes,density,WD Type,database_id,DBH0,dbh,DPOMtMinus1,DBH2,DBH3,DBH4,POM0,POM,F1,F2,F3,F4,LI,CI,CF,height_m,F5,Height Broken At,Census Notes,census_database_id,census_date,plot_code,census_date2,year,month,day
750637,NA,NA,1,1,NA,3.2,3.5,Ochnaceae,Lophira alata,NA,NA,WDSpecies,2248733,152,152,NA,152,152,152,NA,1300,a,1,0,0,NA,NA,NA,NA,NA,NA,,4646,2011.452,XXX_02,20110614,2011,6,14
750646,NA,NA,10,1,NA,7.9,17.5,Ochnaceae,Lophira alata,NA,NA,WDSpecies,2248742,689,689,NA,689,689,689,NA,1300,c,1,0,0,NA,NA,NA,NA,NA,NA,,4646,2011.452,XXX_02,20110614,2011,6,14
750647,NA,NA,11,1,NA,1.5,0.5,Fabaceae,Pentaclethra macrophylla,NA,NA,WDSpecies,2248743,353,344,NA,344,344,344,NA,1300,a,1,0,1,NA,NA,NA,NA,NA,NA,,4646,2011.452,XXX_02,20110614,2011,6,14
750638,NA,NA,2,1,NA,8.25,6,Annonaceae,Xylopia aethiopica,NA,NA,WDSpecies,2248734,392,392,NA,392,392,392,NA,1300,a,1,0,0,NA,NA,NA,NA,NA,NA,,4646,2011.452,XXX_02,20110614,2011,6,14
750639,NA,NA,3,1,NA,15.3,12.8,Malvaceae,Cola lizae,NA,NA,WDGenus,2248735,300,300,NA,300,300,300,NA,1300,a,1,0,0,NA,NA,NA,NA,NA,NA,,4646,2011.452,XXX_02,20110614,2011,6,14
750640,NA,NA,4,1,NA,9.75,15.6,Malvaceae,Cola lizae,NA,NA,WDGenus,2248736,211,211,NA,211,211,211,NA,1300,a,1,0,0,NA,NA,NA,NA,NA,NA,,4646,2011.452,XXX_02,20110614,2011,6,14
750641,NA,NA,5,1,NA,10,16.5,Malvaceae,Cola lizae,NA,NA,WDGenus,2248737,361,361,NA,361,361,361,NA,1300,a,1,0,0,NA,NA,NA,NA,NA,NA,,4646,2011.452,XXX_02,20110614,2011,6,14
750642,NA,NA,6,1,NA,10.15,16.8,Rubiaceae,Corynanthe mayumbensis,NA,NA,WDGenus,2248738,125,113,NA,113,113,113,NA,1300,a,1,0,1,NA,NA,NA,NA,NA,NA,,4646,2011.452,XXX_02,20110614,2011,6,14
750643,NA,NA,7,1,NA,12.4,18.7,Annonaceae,Uvariastrum pierreanum,NA,NA,WDFamily,2248739,169,151,NA,151,151,151,NA,1300,a,1,0,1,NA,NA,NA,NA,NA,NA,,4646,2011.452,XXX_02,20110614,2011,6,14
750644,NA,NA,8,1,NA,10.9,18.7,Anacardiaceae,Trichoscypha acuminata,NA,NA,WDGenus,2248740,171,171,NA,171,171,171,NA,1300,a,1,0,0,NA,NA,NA,NA,NA,NA,,4646,2011.452,XXX_02,20110614,2011,6,14
