"","species","genus","year","height_final","density","dbh","tree_biomass_Mg","date","woody_biomass"
"1","avicennioides","Terminalia","2012",12.9180351845595,0.636249147,267,0.135996842074229,2012-12-03,0.164556178909817
"216","avicennioides","Terminalia","2013",13,0.636249147,270,0.139952518678888,2013-10-10,0.169342547601455
"430","avicennioides","Terminalia","2014",13.1877631665789,0.636249147,277,0.149430935546847,2014-11-28,0.180811432011685
"639","avicennioides","Terminalia","2015",13.2141984192005,0.636249147,278,0.150813512054042,2015-09-14,0.182484349585391
"2","avicennioides","Terminalia","2012",11.9585548351594,0.636249147,353,0.220058398584746,2012-12-03,0.266270662287542
"217","avicennioides","Terminalia","2013",12,0.636249147,355,0.22333037247872,2013-10-10,0.270229750699251
"431","avicennioides","Terminalia","2014",12.0617319883967,0.636249147,358,0.228289304824795,2014-11-28,0.276230058838002
"640","avicennioides","Terminalia","2015",12.2837393613497,0.636249147,369,0.246997844540266,2015-09-14,0.298867391893721
"3","microcarpa","Lannea","2012",7,0.405333333,118,0.0091697395288431,2012-12-03,0.0110953848299001
"218","microcarpa","Lannea","2013",7,0.405333333,118,0.0091697395288431,2013-10-10,0.0110953848299001
"432","microcarpa","Lannea","2014",7,0.405333333,118,0.0091697395288431,2014-11-28,0.0110953848299001
"641","microcarpa","Lannea","2015",7.42275418585339,0.405333333,125,0.0109113892621978,2015-09-14,0.0132027810072594
"4","tragacantha","Sterculia","2012",14.4144506378652,0.51425,341,0.200061618810786,2012-12-03,0.242074558761051
"219","tragacantha","Sterculia","2013",14.5,0.51425,345,0.205998054003225,2013-10-10,0.249257645343902
"433","tragacantha","Sterculia","2014",14.6055525356475,0.51425,350,0.213555620159887,2014-11-28,0.258402300393463
"642","tragacantha","Sterculia","2015",14.9933471829886,0.51425,369,0.243673474138911,2015-09-14,0.294844903708083
"5","avicennioides","Terminalia","2012",10.8575532977469,0.636249147,153,0.0375339844423227,2012-12-03,0.0454161211752105
"220","avicennioides","Terminalia","2013",11,0.636249147,156,0.0395322670046045,2013-10-10,0.0478340430755715
"434","avicennioides","Terminalia","2014",11.0934506225416,0.636249147,158,0.040896926092453,2014-11-28,0.0494852805718682
"643","avicennioides","Terminalia","2015",11.4114596883737,0.636249147,165,0.0458795264833927,2015-09-14,0.0555142270449052
"6","erinaceus","Pterocarpus","2012",13.4378320460331,0.74,470,0.509846296930886,2012-12-03,0.616914019286372
"221","erinaceus","Pterocarpus","2013",13.5,0.74,474,0.52096050105696,2013-10-10,0.630362206278921
"435","erinaceus","Pterocarpus","2014",13.5308875179019,0.74,476,0.526568085881109,2014-11-28,0.637147383916141
"644","erinaceus","Pterocarpus","2015",13.5,0.74,474,0.52096050105696,2015-09-14,0.630362206278921
"7","erinaceus","Pterocarpus","2012",9.10165208378688,0.74,218,0.0742929429424521,2012-12-03,0.089894460960367
"222","erinaceus","Pterocarpus","2013",9,0.74,215,0.071455189284,2013-10-10,0.08646077903364
"436","erinaceus","Pterocarpus","2014",9.06792432476854,0.74,217,0.0733401340713003,2014-11-28,0.0887415622262734
"645","erinaceus","Pterocarpus","2015",8.7923698759302,0.74,209,0.0659648936477291,2015-09-14,0.0798175213137522
"8","erinaceus","Pterocarpus","2012",8.45400753170205,0.74,159,0.0367088875685591,2012-12-03,0.0444177539579565
"223","erinaceus","Pterocarpus","2013",8.5,0.74,160,0.037374314496,2013-10-10,0.04522292054016
"437","erinaceus","Pterocarpus","2014",8.72573395401555,0.74,165,0.0408022582641681,2014-11-28,0.0493707324996434
"646","erinaceus","Pterocarpus","2015",8.68113944182739,0.74,164,0.0401031764398721,2015-09-14,0.0485248434922452
"9","discoidea","Margaritaria","2012",3,0.7195,117,0.006858140869476,2012-12-03,0.00829835045206596
"224","discoidea","Margaritaria","2013",3,0.7195,117,0.006858140869476,2013-10-10,0.00829835045206596
"438","discoidea","Margaritaria","2014",3.06243250163866,0.7195,118,0.00712104881990489,2014-11-28,0.00861646907208492
"647","discoidea","Margaritaria","2015",3.12433814044346,0.7195,119,0.0073886547982611,2015-09-14,0.00894027230589593
"10","tragacantha","Sterculia","2012",15.490625401674,0.51425,466,0.401511242836279,2012-12-03,0.485828603831898
"225","tragacantha","Sterculia","2013",15.6,0.51425,473,0.416585169754697,2013-10-10,0.504068055403183
"439","tragacantha","Sterculia","2014",15.7686459253294,0.51425,484,0.44090198099719,2014-11-28,0.5334913970066
"11","velutina","Lannea","2012",17.8816001146194,0.405333333,452,0.343698940233952,2012-12-03,0.415875717683082
"226","velutina","Lannea","2013",17.8,0.405333333,447,0.334603125561531,2013-10-10,0.404869781929452
"440","velutina","Lannea","2014",17.8,0.405333333,447,0.334603125561531,2014-11-28,0.404869781929452
"648","velutina","Lannea","2015",18.026231244099,0.405333333,461,0.360414067352402,2015-09-14,0.436101021496406
"12","tragacantha","Sterculia","2012",10.7231454581739,0.51425,208,0.0553739867528734,2012-12-03,0.0670025239709769
"227","tragacantha","Sterculia","2013",11,0.51425,216,0.061257195914112,2013-10-10,0.0741212070560755
"441","tragacantha","Sterculia","2014",11.0676113050051,0.51425,218,0.0627803613207372,2014-11-28,0.075964237198092
