"Stem tag grouping","tree_tag","T1","T2","X","Y","Family","original identification","Species","Tree Notes","dbh","POM","Extra D","Extra POM","Flag1","Flag2","Flag3","Flag4","LI","CI","CF","CD1","CD2","height_m","Flag5","Height Broken At","Census Notes","voucher code","voucher collected","census_date","plot_code","year","month","day"
NA,363,"1","",1,9,"Sapindaceae",NA,"Indet indet",NA,108,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,364,"1","",2,4,"Indet",NA,"Indet indet",NA,125,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,365,"1","",6,5,"Sapindaceae",NA,"Nephelium rambutan",NA,124,1850,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,366,"1","",NA,NA,"Indet",NA,"Indet indet",NA,143,1300,NA,NA,"b","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,367,"1","",NA,NA,"Indet",NA,"Indet indet",NA,177,1300,NA,NA,"b","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,368,"1","",NA,NA,"Indet",NA,"Indet indet",NA,117,1300,NA,NA,"b","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,369,"1","",18,16,"Sapindaceae",NA,"Paranephelium joannis",NA,151,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,370,"1","",NA,NA,"Indet",NA,"Indet indet",NA,112,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,371,"1","",8,11,"Indet",NA,"Indet indet",NA,182,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,372,"1","",3,17,"Urticaceae",NA,"Dendrocnide elliptica",NA,147,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,373,"1","",6,20,"Dipterocarpaceae",NA,"Shorea faguetiana",NA,128,1450,NA,NA,"e","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,374,"2","",NA,NA,"Indet",NA,"Indet indet",NA,105,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,375,"2","",6,18,"Sapindaceae",NA,"Nephelium rambutan",NA,205,1800,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,376,"2","",6,19,"Dipterocarpaceae",NA,"Shorea faguetiana",NA,174,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,377,"2","",8,20,"Sapindaceae",NA,"Nephelium rambutan",NA,107,1300,NA,NA,"bk","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,378,"2","",NA,NA,"Urticaceae",NA,"Dendrocnide elliptica",NA,189,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,379,"2","",6,11,"Malvaceae",NA,"Microcos crassifolia",NA,124,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,380,"2","",3,8,"Dipterocarpaceae",NA,"Dipterocarpus caudiferus",NA,110,1300,NA,NA,"b","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,381,"2","",20,20,"Lauraceae",NA,"Litsea grandis",NA,184,1300,NA,NA,"b","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,382,"2","",16,16,"Sapindaceae",NA,"Indet indet",NA,105,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,383,"2","",15,18,"Indet",NA,"Indet indet",NA,157,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
