plot_code,sub_plot,tree_tag,year,month,day,wood_density_g_m2,tree_height_year,tree_height_m,pom_height_m,baseline_dbh_year,baseline_dbh_mm,dbh_nodirection_mm,dbh_northsouth_mm,dbh_westeast_mm,dendrometer_reading_replaced_mm,status_code_intact_moved_broken,mortality_code_alive_dead,quality_code,comments,date,dendrometer_reading_mm,family,genus,species
ABC-01,1,10,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,1,10,2013,12,10,NA,NA,NA,1.4,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,10/12/2013,2.3,NA,NA,NA
ABC-01,1,10,2014,3,6,NA,NA,NA,1.4,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,06/03/2014,3.9,NA,NA,NA
ABC-01,3,103,2013,9,24,NA,NA,NA,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,3,103,2013,12,10,NA,NA,NA,1.35,NA,NA,2.41,NA,NA,NA,NA,NA,NA,NA,10/12/2013,2.41,NA,NA,NA
ABC-01,3,103,2014,3,6,NA,NA,NA,1.35,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,06/03/2014,4.2,NA,NA,NA
ABC-01,4,105,2013,9,24,NA,NA,NA,1.4,NA,NA,1.47,NA,NA,NA,NA,NA,NA,NA,24/09/2013,1.47,NA,NA,NA
ABC-01,4,105,2013,12,10,NA,NA,NA,1.4,NA,NA,4.34,NA,NA,NA,NA,NA,NA,NA,10/12/2013,4.34,NA,NA,NA
ABC-01,4,105,2014,3,6,NA,NA,NA,1.4,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,06/03/2014,5.4,NA,NA,NA
ABC-01,4,108,2013,9,24,NA,NA,NA,1.4,NA,NA,-0.9,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-0.9,NA,NA,NA
ABC-01,4,108,2013,12,10,NA,NA,NA,1.4,NA,NA,-2.7,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-2.7,NA,NA,NA
ABC-01,4,108,2014,3,6,NA,NA,NA,1.4,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-2,NA,NA,NA
ABC-01,4,109,2013,9,24,NA,NA,NA,1.4,NA,NA,1.46,NA,NA,NA,NA,NA,NA,NA,24/09/2013,1.46,NA,NA,NA
ABC-01,4,109,2013,12,10,NA,NA,NA,1.4,NA,NA,3.22,NA,NA,NA,NA,NA,NA,NA,10/12/2013,3.22,NA,NA,NA
ABC-01,4,111,2013,9,24,NA,NA,NA,1.5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,4,111,2013,12,10,NA,NA,NA,1.5,NA,NA,2.27,NA,NA,NA,NA,NA,NA,NA,10/12/2013,2.27,NA,NA,NA
ABC-01,4,111,2014,3,6,NA,NA,NA,1.5,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,06/03/2014,4.4,NA,NA,NA
ABC-01,4,119,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,4,119,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,4,119,2014,3,6,NA,NA,NA,1.4,NA,NA,2.05,NA,NA,NA,NA,NA,NA,NA,06/03/2014,2.05,NA,NA,NA
ABC-01,4,120,2013,9,24,NA,NA,NA,1.4,NA,NA,-1.82,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-1.82,NA,NA,NA
ABC-01,4,120,2013,12,10,NA,NA,NA,1.4,NA,NA,-2.2,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-2.2,NA,NA,NA
ABC-01,4,120,2014,3,6,NA,NA,NA,1.4,NA,NA,-1.85,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-1.85,NA,NA,NA
ABC-01,4,123,2013,9,24,NA,NA,NA,1.4,NA,NA,-1.12,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-1.12,NA,NA,NA
ABC-01,4,123,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,4,123,2014,3,6,NA,NA,NA,1.4,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,06/03/2014,0.65,NA,NA,NA
ABC-01,4,133,2013,9,24,NA,NA,NA,1.4,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0.96,NA,NA,NA
ABC-01,4,133,2013,12,10,NA,NA,NA,1.4,NA,NA,2.77,NA,NA,NA,NA,NA,NA,NA,10/12/2013,2.77,NA,NA,NA
ABC-01,4,133,2014,3,6,NA,NA,NA,1.4,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,06/03/2014,3.8,NA,NA,NA
ABC-01,4,136,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,4,136,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,4,136,2014,3,6,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,06/03/2014,0,NA,NA,NA
ABC-01,4,137,2013,9,24,NA,NA,NA,1.4,NA,NA,-2.68,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-2.68,NA,NA,NA
ABC-01,4,137,2013,12,10,NA,NA,NA,1.4,NA,NA,-3.14,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-3.14,NA,NA,NA
ABC-01,4,137,2014,3,6,NA,NA,NA,1.4,NA,NA,-3.5,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-3.5,NA,NA,NA
