"Tree ID","stem tag grouping","Pv. Tag No","tree_tag","T1","T2","X","Y","Family","Species","Subspecies","Variety","Recommended Family","Recommended Species","Recommended Subspecies","Recommended Variety","Tree Notes","density","WD Type","database_id","DBH0","dbh","DPOMtMinus1","DBH2","DBH3","DBH4","POM0","POM","F1","F2","F3","F4","LI","CI","CF","height_m","F5","Height Broken At","Census Notes","census_database_id","census_date","plot_code","census_date2","year","month","day"
1161943,NA,"","1",1,NA,0,2.5,"Fabaceae","Hymenostegia afzelii",NA,NA,"Fabaceae","Hymenostegia afzelii",NA,NA,"",0.824,"WDSpecies",3127775,231,231,NA,231,231,231,NA,1400,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1707715,NA,"492","1.1",1,NA,0,2.5,"Fabaceae","Hymenostegia afzelii",NA,NA,"Fabaceae","Hymenostegia afzelii",NA,NA,"",0.824,"WDSpecies",5023705,NA,131,NA,131,120,126,NA,1300,"a","1",0,"4",NA,NA,NA,NA,NA,NA,"AB17: suspect missed in early censuses, mean growth rate backwards","6047","2012.205","BOB_01","20120316","2012","03","16"
1161951,NA,"","10",1,NA,10.5,18,"Cannabaceae","Celtis mildbraedii",NA,NA,"Cannabaceae","Celtis mildbraedii",NA,NA,"",0.593833333,"WDSpecies",3127783,221,221,NA,221,221,221,NA,1300,"m","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161952,NA,"","11",1,NA,10,19.5,"Cannabaceae","Celtis mildbraedii",NA,NA,"Cannabaceae","Celtis mildbraedii",NA,NA,"",0.593833333,"WDSpecies",3127784,222,222,NA,222,222,222,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161953,NA,"","12",1,NA,9,19,"Fabaceae","Hymenostegia afzelii",NA,NA,"Fabaceae","Hymenostegia afzelii",NA,NA,"",0.824,"WDSpecies",3127785,116,116,NA,116,116,116,NA,1700,"m","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161954,NA,"","13",1,NA,2.5,19.5,"Anacardiaceae","Lannea welwitschii",NA,NA,"Anacardiaceae","Lannea welwitschii",NA,NA,"",0.405333333,"WDSpecies",3127786,259,259,NA,259,259,259,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161955,NA,"","14",1,NA,0.5,17.5,"Myristicaceae","Pycnanthus angolensis",NA,NA,"Myristicaceae","Pycnanthus angolensis",NA,NA,"",0.4089,"WDSpecies",3127787,173,173,NA,173,173,173,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161956,NA,"","15",1,NA,2,17,"Cannabaceae","Celtis mildbraedii",NA,NA,"Cannabaceae","Celtis mildbraedii",NA,NA,"",0.593833333,"WDSpecies",3127788,279,279,NA,279,251,265,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161957,NA,"","16",1,NA,15,19.5,"Chrysobalanaceae","Dactyladenia hirsuta",NA,NA,"Chrysobalanaceae","Dactyladenia hirsuta",NA,NA,"",0.792393519,"WDFamily",3127789,111,111,NA,111,111,111,NA,1300,"m","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161958,NA,"","17",1,NA,14,18,"Rubiaceae","Morinda lucida",NA,NA,"Rubiaceae","Morinda lucida",NA,NA,"",0.69565607,"WDFamily",3127790,139,139,NA,139,139,139,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161959,NA,"","18",1,NA,18,17,"Sapindaceae","Lecaniodiscus indet",NA,NA,"Sapindaceae","Lecaniodiscus indet",NA,NA,"",0.661607143,"WDFamily",3127791,134,134,NA,134,134,134,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161960,NA,"","19",1,NA,19,14,"Cannabaceae","Celtis adolfi-friderici",NA,NA,"Cannabaceae","Celtis adolfi-friderici",NA,NA,"",0.617158333,"WDGenus",3127792,176,176,NA,176,176,176,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161944,NA,"","2",1,NA,5,1,"Olacaceae","Strombosia glaucescens",NA,NA,"Olacaceae","Strombosia glaucescens",NA,NA,"",0.827392857,"WDGenus",3127776,290,290,NA,290,290,290,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161961,NA,"","20",1,NA,14,11,"Moraceae","Ficus vogeliana",NA,NA,"Moraceae","Ficus vogeliana",NA,NA,"",0.449625,"WDGenus",3127793,106,106,NA,106,106,106,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161962,NA,"","21",1,NA,18,13,"Malvaceae","Nesogordonia papaverifera",NA,NA,"Malvaceae","Nesogordonia papaverifera",NA,NA,"",0.645,"WDSpecies",3127794,276,276,NA,276,266,271,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161963,NA,"","22",1,NA,18.5,10,"Simaroubaceae","Hannoa klaineana",NA,NA,"Simaroubaceae","Hannoa klaineana",NA,NA,"",0.310041667,"WDFamily",3127795,192,192,NA,192,192,192,NA,1300,"m","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161964,NA,"","23",1,NA,14,7,"Anacardiaceae","Lannea welwitschii",NA,NA,"Anacardiaceae","Lannea welwitschii",NA,NA,"",0.405333333,"WDSpecies",3127796,215,215,NA,215,215,215,NA,1300,"m","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161965,NA,"","24",1,NA,12,7,"Malvaceae","Cola lateritia",NA,NA,"Malvaceae","Cola lateritia",NA,NA,"",0.507,"WDSpecies",3127797,142,142,NA,142,142,142,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161966,NA,"","25",1,NA,12,5,"Malvaceae","Pterygota macrocarpa",NA,NA,"Malvaceae","Pterygota macrocarpa",NA,NA,"",0.49325,"WDSpecies",3127798,120,120,NA,120,120,120,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161967,NA,"","26",1,NA,16.5,5.5,"Cannabaceae","Celtis mildbraedii",NA,NA,"Cannabaceae","Celtis mildbraedii",NA,NA,"",0.593833333,"WDSpecies",3127799,155,155,NA,155,155,155,NA,1300,"m","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161968,NA,"","27",1,NA,16,2.5,"Fabaceae","Baphia nitida",NA,NA,"Fabaceae","Baphia nitida",NA,NA,"",0.559,"WDSpecies",3127800,147,147,NA,147,147,147,NA,1300,"s","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161969,NA,"","28",1,NA,16.5,2,"Fabaceae","Daniellia ogea",NA,NA,"Fabaceae","Daniellia ogea",NA,NA,"",0.430571429,"WDSpecies",3127801,199,199,NA,199,199,199,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161970,NA,"","29",1,NA,19.5,3.5,"Malvaceae","Sterculia oblonga",NA,NA,"Malvaceae","Sterculia oblonga",NA,NA,"",0.51425,"WDGenus",3127802,425,425,NA,425,425,425,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161945,NA,"","3",1,NA,9,2.5,"Meliaceae","Guarea cedrata",NA,NA,"Meliaceae","Guarea cedrata",NA,NA,"",0.509933333,"WDSpecies",3127777,295,295,NA,295,295,295,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161971,NA,"","30",1,NA,11,0,"Euphorbiaceae","Mareya micrantha",NA,NA,"Euphorbiaceae","Mareya micrantha",NA,NA,"",0.434883333,"WDFamily",3127803,122,122,NA,122,122,122,NA,1300,"c","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161946,NA,"","4",1,NA,4,7,"Cannabaceae","Celtis mildbraedii",NA,NA,"Cannabaceae","Celtis mildbraedii",NA,NA,"",0.593833333,"WDSpecies",3127778,387,387,NA,387,387,387,NA,1300,"m","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1707716,NA,"","493",1,NA,NA,NA,"Indet","Indet indet",NA,NA,"Indet","Indet indet",NA,NA,"",0.560204727,"WDPlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161947,NA,"955","5",1,NA,3,9,"Fabaceae","Baphia nitida",NA,NA,"Fabaceae","Baphia nitida",NA,NA,"",0.559,"WDSpecies",3127779,137,137,NA,137,137,137,NA,1300,"c","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161948,NA,"","6",1,NA,2,12,"Cannabaceae","Celtis mildbraedii",NA,NA,"Cannabaceae","Celtis mildbraedii",NA,NA,"",0.593833333,"WDSpecies",3127780,138,138,NA,138,138,138,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161949,NA,"","7",1,NA,3,13,"Apocynaceae","Funtumia elastica",NA,NA,"Apocynaceae","Funtumia elastica",NA,NA,"",0.424,"WDGenus",3127781,160,160,NA,160,160,160,NA,1300,"a","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
1161950,NA,"","8",1,NA,8,10.5,"Meliaceae","Trichilia prieuriana",NA,NA,"Meliaceae","Trichilia prieuriana",NA,NA,"",0.4825,"WDGenus",3127782,213,213,NA,213,213,213,NA,1300,"d","1",0,"0",NA,NA,NA,NA,NA,NA,"","6047","2012.205","BOB_01","20120316","2012","03","16"
