plot_code,sub_plot,tree_tag,collar_number,replica,year,egm_measurement,recno,day,month,hour,min,co2ref,InputD,time,InputF,atmp,probe_type,quality_code,comments
XXX-01,1,36,9999,9999,2013,NA,1,20,11,0,2,461,0,0,0,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,2,20,11,0,2,462,0,4,0,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,3,20,11,0,2,464,0,9,0,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,4,20,11,0,2,464,2,14,0.12,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,5,20,11,0,2,466,4,19,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,6,20,11,0,2,467,5,24,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,7,20,11,0,3,466,5,28,0.12,674,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,8,20,11,0,3,469,6,33,0.12,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,9,20,11,0,3,469,7,38,0.12,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,10,20,11,0,3,470,8,43,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,11,20,11,0,3,472,9,48,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,12,20,11,0,3,472,10,52,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,13,20,11,0,3,473,11,57,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,14,20,11,0,3,474,12,62,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,15,20,11,0,3,475,13,67,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,16,20,11,0,3,477,15,72,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,17,20,11,0,3,477,16,76,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,18,20,11,0,3,478,16,81,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,19,20,11,0,3,479,17,86,0.13,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,20,20,11,0,4,479,18,91,0.12,674,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,21,20,11,0,4,481,19,96,0.12,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,22,20,11,0,4,482,20,100,0.12,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,23,20,11,0,4,483,21,105,0.12,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,24,20,11,0,4,483,22,110,0.12,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,25,20,11,0,4,483,22,115,0.12,674,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,26,20,11,0,4,485,23,120,0.12,673,8,NA,NA
XXX-01,1,36,9999,9999,2013,NA,27,20,11,0,4,486,24,124,0.12,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,1,20,11,0,16,462,0,0,0,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,2,20,11,0,16,462,0,4,0,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,3,20,11,0,16,463,0,9,0,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,4,20,11,0,16,464,2,14,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,5,20,11,0,16,465,3,19,0.12,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,6,20,11,0,16,466,4,24,0.12,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,7,20,11,0,16,467,5,28,0.12,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,8,20,11,0,16,468,6,33,0.12,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,9,20,11,0,16,469,7,38,0.12,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,10,20,11,0,16,470,8,43,0.12,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,11,20,11,0,17,470,8,48,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,12,20,11,0,17,471,9,52,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,13,20,11,0,17,472,10,57,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,14,20,11,0,17,473,11,62,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,15,20,11,0,17,474,12,67,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,16,20,11,0,17,475,13,72,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,17,20,11,0,17,476,14,76,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,18,20,11,0,17,477,15,81,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,19,20,11,0,17,477,15,86,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,20,20,11,0,17,478,16,91,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,21,20,11,0,17,479,17,96,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,22,20,11,0,17,480,18,100,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,23,20,11,0,17,481,19,105,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,24,20,11,0,18,482,20,110,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,25,20,11,0,18,483,21,115,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,26,20,11,0,18,484,22,120,0.11,673,8,NA,NA
XXX-01,2,68,9999,9999,2013,NA,27,20,11,0,18,484,22,124,0.11,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,1,20,11,5,53,468,0,0,0,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,2,20,11,5,53,469,0,4,0,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,3,20,11,5,53,469,0,9,0,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,4,20,11,5,53,470,1,14,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,5,20,11,5,53,471,2,19,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,6,20,11,5,53,471,2,24,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,7,20,11,5,53,472,3,28,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,8,20,11,5,53,472,3,33,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,9,20,11,5,53,472,4,38,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,10,20,11,5,53,473,4,43,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,11,20,11,5,54,474,5,48,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,12,20,11,5,54,474,5,52,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,13,20,11,5,54,475,6,57,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,14,20,11,5,54,475,6,62,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,15,20,11,5,54,476,7,67,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,16,20,11,5,54,476,7,72,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,17,20,11,5,54,477,8,76,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,18,20,11,5,54,477,9,81,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,19,20,11,5,54,478,9,86,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,20,20,11,5,54,479,10,91,0.07,673,8,NA,NA
XXX-01,3,98,9999,9999,2013,NA,21,20,11,5,54,479,10,96,0.07,673,8,NA,NA
